Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,66.0,66.8,69.5,66.6,71.0,75.9,83.1,89.7,94.2,97.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,67.7,66.6,70.8,68.0,70.7,72.1,73.7,76.4,80.4,83.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,60.6,61.5,63.8,60.2,64.7,68.6,77.6,82.0,85.1,83.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,65.7,66.2,67.5,66.4,70.7,72.6,75.9,77.6,80.3,83.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,57.6,57.9,59.2,58.5,61.3,65.7,67.2,70.4,74.6,83.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,52.3,51.7,54.1,53.2,57.2,60.4,61.3,64.1,68.3,72.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,80.3,80.7,81.7,80.8,86.1,91.0,92.2,98.4,102.1,106.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,57.5,58.8,62.5,60.6,65.8,68.4,76.3,80.5,83.7,88.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,55.6,55.9,57.2,55.7,59.0,62.6,69.5,73.5,77.0,79.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,50.4,50.6,53.3,51.7,56.1,57.1,59.3,63.5,67.0,69.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,66.8,65.8,72.9,67.4,70.8,72.0,81.1,82.2,89.4,95.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,20.2,21.0,21.4,23.0,40.8,47.6,57.4,60.0,66.1,68.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,62.1,63.1,65.0,63.9,69.4,75.5,78.4,82.1,86.1,88.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,61.5,61.5,65.9,62.9,66.3,68.2,68.9,72.3,79.7,83.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,190.3,196.5,204.1,184.9,176.0,194.0,224.1,264.4,271.2,276.5
