Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,109.5,76.9,84.7,96.2,97.5,90.9,95.7,85.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2.4,1.3,1.4,1.5,1.6,1.6,1.1,1.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,36.2,22.3,28.2,29.8,30.5,27.9,43.8,45.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,7.1,8.2,8.5,7.7,8.7,6.1,5.5,2.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.9,0.9,1.0,1.1,1.1,1.1,1.0,1.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4.2,3.3,4.2,4.7,4.8,4.3,3.9,3.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,6.6,3.3,4.9,4.2,4.3,4.3,3.0,2.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,6.6,13.0,8.0,15.9,16.0,16.9,12.1,7.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,14.4,4.7,6.5,5.4,5.6,5.3,4.8,2.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,6.0,5.1,5.7,5.2,5.2,5.1,4.2,3.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,5.7,2.5,2.5,2.8,3.2,2.6,2.6,1.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,4.9,3.6,3.2,4.6,4.6,4.6,3.8,2.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,5.3,5.3,5.4,6.1,4.8,4.6,4.5,4.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,9.2,3.4,5.2,7.2,7.1,6.5,5.4,5.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
