Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.8,100.48,100.74,100.48,101.5,99.64,100.74,100.43,100.53,100.46,100.58,100.83,100.6,100.5,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.84,100.55,101.28,100.59,99.17,98.85,98.92,100.64,100.79,100.85,100.95,101.41,100.8,100.9,101.1,100.9
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.91,97.09,97.65,99.69,99.38,98.45,98.8,99.66,99.77,96.71,95.56,98.01,99.0,97.5,99.7,98.3
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.58,97.44,97.95,100.96,99.56,100.05,98.03,99.89,100.18,100.0,100.21,100.0,100.7,100.9,100.4,101.1
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.33,102.73,108.66,101.56,100.8,100.66,102.27,100.13,101.35,101.42,100.19,100.35,100.9,101.7,101.7,103.3
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,101.56,101.78,108.66,101.16,100.79,100.69,102.49,100.84,100.99,101.51,100.67,100.41,101.4,102.9,101.4,104.0
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),100.36,99.52,99.93,101.14,98.43,101.68,100.93,101.81,101.06,98.95,98.41,100.29,101.3,101.6,99.8,98.3
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),100.0,100.0,101.44,100.0,99.83,100.57,99.59,100.0,100.0,101.19,100.51,100.7,100.9,100.5,100.7,100.4
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,86.7,89.89,100.58,95.05,95.29,104.4,96.08,102.26,107.33,103.65,102.01,103.46,100.7,100.9,102.1,97.2
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,103.31,100.26,101.05,102.53,104.93,100.0,100.32,101.77,100.29,101.0,100.6,100.08,100.2,100.3,100.4,100.8
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,103.4,100.67,100.0,102.95,103.17,100.4,100.63,99.56,100.42,100.33,100.33,99.77,100.6,100.6,100.8,101.5
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,103.54,101.25,100.92,101.46,100.98,99.86,96.55,99.7,99.94,100.1,103.4,103.38,101.9,104.1,106.7,104.7
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,99.13,132.3,104.84,98.52,71.93,53.88,57.85,88.17,118.27,152.07,175.74,123.39,98.8,111.8,111.7,99.6
01.107,Sabzi,Морковь,Carrot,Сабзи,103.9,102.62,114.2,105.37,114.32,113.88,93.01,98.02,108.2,93.74,73.89,93.28,102.0,101.7,99.8,102.9
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.73,100.35,102.44,113.32,99.03,98.59,98.24,98.44,96.15,93.05,97.45,100.92,100.7,98.9,97.2,98.1
01.113,Kartoshka,Картофель,Potato,Картошка,128.67,86.87,96.0,102.15,96.42,99.07,94.81,103.7,99.83,97.6,100.5,100.82,102.0,105.7,110.3,106.5
01.123,Shakar,Сахар-песок,Sugar,Шакар,98.58,97.36,100.47,101.26,102.52,101.28,99.21,100.0,101.29,97.26,96.92,97.79,100.8,102.8,101.4,102.5
