Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024,2025
6,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,112.2,121.9,121.5,115.3,109.1,111.4,109.02
01.0,TIRIK HAYVONLAR; HAYVONLARDAN OLINGAN MAHSULOTLAR,ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ,LIVE ANIMALS; ANIMAL PRODUCTS,ТИРИК ҲАЙВОНЛАР; ҲАЙВОНЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,105.2,101.8,113.1,105.1,101.8,105.5,106.95
01.1,TIRIK HAYVONLAR,ЖИВЫЕ ЖИВОТНЫЕ,LIVE ANIMALS,ТИРИК ҲАЙВОНЛАР,93.8,100.0,100.9,99.6,102.6,97.3,95.88
01.2,GO'SHT VA GO'SHT MAHSULOTLARI,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ.,MEAT AND  MEAT PREPARATIONS,ГЎШТ ВА ГЎШТ МАҲСУЛОТЛАРИ,128.3,105.7,126.9,104.4,101.3,107.1,107.77
01.3,"BALIQ VA QISQICHBAQASIMONLAR, MOLLYUSKALAR VA BOSHQA SUV UMURTQASIZLARI","РЫБА И РАКООБРАЗНЫЕ, МОЛЛЮСКИ И ПРОЧИЕ ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ","FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES, AND PREPARATIONS THEREOF","БАЛИҚ ВА ҚИСҚИЧБАҚАСИМОНЛАР, МОЛЛЮСКАЛАР ВА БОШҚА СУВ УМУРТҚАСИЗЛАРИ",146.7,71.3,115.6,99.5,115.0,113.3,106.44
01.4,SUT MAHSULOTLARI; PARRANDA TUXUMLARI; TABIIY ASAL; BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"МОЛОЧНАЯ ПРОДУКЦИЯ; ЯЙЦА ПТИЦ; МЕД НАТУРАЛЬНЫЙ; ПИЩЕВЫЕ ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","DAIRY PRODUCTS AND BIRDS’ EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",СУТ МАҲСУЛОТЛАРИ; ПАРРАНДА ТУХУМЛАРИ; ТАБИИЙ АСАЛ; БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,103.9,116.0,114.4,123.0,97.1,105.7,115.22
01.5,BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,139.1,100.0,86.6,112.4,142.5,114.8,104.73
02.,О‘SIMLIKLARDAN OLINGAN MAHSULOTLAR,РАЗДЕЛ II. ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ,PLANT PRODUCTS,ЎСИМЛИКЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,122.1,126.3,122.9,118.8,103.4,102.6,106.75
02.1,"DARAXTLAR VA BOSHQA O'SIMLIKLAR, ILDIZPOYALAR, ILDIZLAR VA O'SIMLIKLARNING BOSHQA O'XSHASH QISMLARI; KESILGAN GULLAR VA DEKORATIV KO'KATLAR","ЖИВЫЕ ДЕРЕВЬЯ И ДРУГИЕ РАСТЕНИЯ; ЛУКОВИЦЫ, КОРНИ И ПРОЧИЕ АНАЛОГИЧНЫЕ ЧАСТИ РАСТЕНИЙ; СРЕЗАННЫЕ ЦВЕТЫ И ДЕКОРАТИВНАЯ ЗЕЛЕНЬ","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","ДАРАХТЛАР ВА БОШҚА ЎСИМЛИКЛАР, ИЛДИЗПОЯЛАР, ИЛДИЗЛАР ВА ЎСИМЛИКЛАРНИНГ БОШҚА ЎХШАШ ҚИСМЛАРИ; КEСИЛГАН ГУЛЛАР ВА ДEКОРАТИВ КЎКАТЛАР",100.7,101.0,133.7,113.1,114.6,119.0,101.14
02.2,ISTE'MOLGA YAROQLI BA'ZI SABZAVOT ILDIZMEVALARI VA QULUPNAYDOSHLAR,ОВОЩИ И НЕКОТОРЫЕ СЪЕДОБНЫЕ КОРНЕПЛОДЫ И КЛУБНЕПЛОДЫ,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,ИСТEЪМОЛГА ЯРОҚЛИ БАЪЗИ САБЗАВОТ ИЛДИЗМEВАЛАРИ ВА ҚУЛУПНАЙДОШЛАР,107.6,100.0,120.1,98.6,106.7,100.4,113.02
