Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.63,100.23,100.64,100.64,102.99,99.67,99.7,100.59,101.25,100.88,100.9,101.26,100.73,100.54,100.9,100.62,101.45,99.66,99.8,100.48,100.57,100.55,100.64,100.88,100.7,100.9,100.6,100.7
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.9,100.2,100.76,100.42,97.71,98.14,98.6,100.5,101.38,101.2,101.12,101.86,100.88,100.69,101.62,100.75,99.14,98.9,98.83,100.64,100.9,100.86,100.98,101.53,100.8,101.0,101.2,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.77,99.02,101.62,102.56,101.99,101.6,101.3,100.52,100.63,97.03,91.62,98.29,99.86,95.0,98.14,98.34,100.2,100.67,99.81,100.13,100.15,95.63,93.75,99.18,99.9,98.1,98.4,98.1
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,100.5,99.6,100.91,100.86,100.53,100.32,99.93,100.11,100.27,95.55,95.19,97.23,99.4,94.03,98.1,99.05,100.59,100.59,99.79,99.51,100.24,96.98,97.4,97.52,99.3,98.9,99.1,99.1
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,99.17,99.37,100.0,99.16,100.0,100.15,100.0,100.0,100.49,99.16,96.31,98.12,99.98,94.51,98.74,98.96,100.0,100.0,99.79,99.99,96.89,96.82,98.98,100.02,99.3,99.4,100.0,97.8
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.99,100.0,100.74,100.05,102.49,99.57,102.14,100.3,101.26,101.01,92.0,101.88,100.69,100.7,100.61,100.19,99.0,100.0,100.0,99.55,100.16,100.0,101.15,100.12,100.0,100.6,100.5,99.8
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),99.05,99.01,99.07,99.71,98.32,98.19,99.61,100.05,99.83,100.96,98.47,97.5,99.38,99.62,96.87,100.87,100.71,100.12,100.75,99.06,101.3,99.21,100.84,101.62,100.5,100.4,100.8,100.2
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,99.5,100.56,99.89,99.64,100.72,100.23,100.26,101.1,100.07,101.12,99.91,101.08,100.36,99.16,98.2,100.14,101.0,100.0,101.31,100.46,100.99,100.46,100.53,100.89,100.3,100.0,100.8,99.8
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,99.68,100.41,98.55,99.82,100.59,100.96,100.01,99.59,100.43,101.72,102.34,99.81,103.17,99.86,98.16,100.77,98.82,100.0,100.06,99.39,99.95,101.08,100.33,101.07,101.0,100.5,100.9,100.5
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.55,100.37,100.45,100.01,100.78,100.99,100.75,99.91,101.26,100.37,100.18,99.54,99.7,99.76,100.14,100.13,100.33,100.89,99.11,99.69,100.66,100.78,99.49,101.23,100.2,101.7,100.4,100.3
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,99.27,99.16,101.2,101.86,102.07,100.19,100.43,99.41,100.28,100.31,100.0,99.59,100.58,95.87,100.46,101.6,100.45,100.67,99.52,99.89,99.61,99.53,100.49,100.68,100.2,100.1,100.6,101.3
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.63,100.07,100.97,100.84,99.75,99.33,99.82,97.42,100.8,98.83,98.1,97.08,99.58,91.29,97.33,100.33,100.0,100.57,100.12,100.95,100.42,100.52,100.82,100.43,100.4,100.2,100.6,101.2
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.0,100.14,100.0,98.4,101.64,99.17,100.32,100.0,100.0,101.31,101.85,100.08,100.14,100.13,99.94,100.0,99.84,100.98,99.32,99.7,100.42,100.03,100.15,100.49,100.3,99.8,100.2,100.0
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.0,100.0,100.67,99.39,100.0,100.58,100.76,100.0,100.0,100.58,100.0,100.05,100.0,100.0,100.64,100.0,100.0,100.96,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.2,100.1,100.7
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.02,100.26,100.0,99.84,99.97,99.95,100.66,100.51,100.0,100.0,100.0,100.0,100.11,100.0,100.0,100.0,100.0,100.0,100.64,100.0,99.47,99.93,100.0,100.3,100.0,100.0,100.9,100.0
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.0,99.11,100.39,100.3,100.0,100.0,100.0,100.0,100.0,101.54,100.0,101.66,100.0,100.54,100.0,99.98,100.01,99.76,100.03,101.09,99.19,99.97,101.18,99.85,100.2,100.9,100.0,100.0
