Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,35.8,34.3,38.6,42.4,45.4,44.5,46.8,53.6,56.2,61.6,51.7,45.2,49.5,50.5,49.8,53.6,54.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,77.5,71.9,91.2,85.4,24.2,22.1,22.4,42.5,60.8,70.7,71.0,57.6,44.1,58.0,70.0,76.4,62.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,3.7,7.1,9.2,5.8,6.6,7.3,15.6,18.1,16.7,15.2,12.9,13.1,11.0,16.2,18.6,22.6,25.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,22.6,12.8,13.6,16.7,17.4,15.9,16.0,14.7,40.0,50.9,46.7,57.3,48.3,53.4,60.8,52.9,42.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,74.5,85.3,75.1,85.7,79.0,82.0,81.4,86.3,93.3,96.9,93.4,84.4,87.5,59.6,24.1,23.9,21.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,17.2,14.1,34.4,58.1,10.4,6.1,14.6,17.7,24.6,68.7,52.0,58.6,50.2,73.8,60.7,60.1,50.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3.8,5.0,10.3,10.5,10.4,15.1,10.8,18.3,15.3,65.1,35.1,26.0,34.5,36.3,42.3,70.5,58.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,64.5,53.7,62.0,75.5,75.9,73.0,90.9,86.9,46.8,83.9,76.3,78.6,71.9,70.4,68.0,71.6,76.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,62.5,67.7,53.8,53.3,54.3,56.2,52.0,60.0,69.7,69.7,45.9,38.0,37.2,44.7,39.9,40.5,42.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,47.9,61.3,77.9,73.8,68.1,37.0,64.7,83.7,91.0,75.0,92.9,89.6,72.6,87.5,90.9,94.0,59.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,38.6,61.9,76.4,74.2,71.1,80.9,87.5,91.5,93.3,76.0,69.0,66.5,72.1,72.2,84.4,75.6,73.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,39.0,47.3,49.5,47.9,59.5,37.9,36.3,40.5,43.3,48.1,45.8,38.3,48.4,54.0,53.5,62.0,60.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,19.0,21.8,29.8,30.0,42.7,30.5,46.7,55.5,54.7,77.4,73.8,72.6,72.5,81.5,82.7,86.1,81.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,79.0,84.6,93.2,84.1,91.1,89.1,90.0,94.0,96.0,70.1,71.1,74.7,35.0,40.2,54.0,68.0,76.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,48.7,39.3,47.1,52.7,54.1,58.3,54.6,57.6,66.5,62.1,54.0,48.9,48.8,47.4,45.1,48.5,51.6
