Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1769.0,1769.1,1537.5,1552.9,1545.0,1536.1,1652.9,1575.2,1664.4,1587.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,82.0,81.1,79.4,79.4,82.4,84.0,101.7,76.2,135.9,151.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,90.3,90.3,60.9,64.9,62.1,64.2,64.9,68.1,72.4,72.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,102.3,102.6,99.7,96.9,97.0,107.3,137.5,155.2,177.6,195.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,34.7,34.5,28.9,31.0,31.3,28.8,34.1,36.3,38.0,39.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,74.8,73.9,59.9,62.4,63.3,64.1,77.8,74.0,84.7,96.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,68.6,67.9,66.2,65.1,63.1,64.7,65.3,69.3,63.2,57.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,112.9,113.3,80.7,81.9,84.0,87.4,97.6,97.8,90.4,89.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,117.3,117.4,96.0,100.7,99.2,103.0,127.7,123.4,125.3,114.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,54.1,54.2,35.3,36.5,38.3,38.9,47.1,51.3,45.6,45.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,39.3,40.3,25.6,27.1,27.7,28.8,31.3,36.4,40.4,40.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,144.4,144.4,108.6,112.9,116.2,119.8,120.0,94.8,102.4,95.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,123.2,123.3,78.0,80.3,83.5,79.4,97.4,110.2,152.0,49.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,81.6,80.7,68.9,70.2,71.7,75.3,85.1,90.1,93.5,95.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,643.6,645.0,649.5,643.6,625.2,590.4,565.4,492.0,443.1,444.1
