Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,108.4,103.7,106.3,107.7,107.6,107.8,104.2,104.9,112.8,108.2,103.7,111.6,118.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,107.2,104.6,108.7,104.2,110.4,117.0,102.7,104.9,120.5,100.7,112.0,104.0,105.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,105.3,98.7,107.5,117.0,99.4,90.7,68.8,132.6,162.4,117.6,98.0,90.5,140.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,106.2,100.3,103.2,99.1,109.2,111.5,103.4,102.6,101.3,104.2,107.5,113.3,101.6
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,112.7,107.5,107.9,106.5,111.2,111.7,118.2,107.5,104.7,99.1,114.3,133.7,114.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,106.3,99.3,106.0,100.6,103.5,107.7,110.3,89.4,98.7,107.9,108.8,93.9,104.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,109.9,102.4,106.8,102.3,103.7,112.1,109.8,91.5,97.9,99.4,100.5,105.1,102.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,109.8,110.2,109.6,104.6,111.6,117.1,120.0,111.2,109.6,109.5,94.5,117.6,115.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,114.7,101.9,102.7,108.8,113.8,106.1,106.9,100.2,109.4,99.6,117.6,110.7,110.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,104.3,99.7,103.8,102.1,111.6,113.5,116.8,95.0,99.3,106.5,118.7,110.1,98.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,105.9,117.2,105.4,103.4,108.9,106.8,110.0,95.1,102.7,99.9,84.7,116.1,117.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,114.5,108.0,111.3,110.5,108.3,121.1,113.0,93.5,110.3,98.6,113.8,128.5,117.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,106.1,100.1,101.6,101.4,105.2,111.2,110.6,104.8,99.6,100.6,109.4,109.1,98.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,108.7,103.6,109.8,105.5,183.3,122.5,92.1,109.0,128.3,122.0,98.6,115.9,122.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,108.3,109.4,106.3,106.5,114.2,113.6,118.0,105.8,100.0,104.0,102.9,121.0,113.6
