Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31900.4,46704.5,56926.6,67510.7,82957.2,101197.5,118011.4,152010.5,191759.2,219466.9,253238.2,304452.1,344134.5,403038.6,439835.6,495445.2,60045.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1000.7,1314.6,1804.8,2091.5,2607.3,3411.3,4031.5,4949.5,6866.5,8660.7,10217.5,11792.4,13452.2,15403.6,16872.6,18933.5,1938.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,3006.1,4520.7,5525.1,6805.4,8248.9,10073.4,12217.4,15851.2,20090.8,24107.2,26457.6,30593.0,35864.4,41310.2,44646.6,50185.6,5043.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2462.8,3779.6,4509.2,5669.3,6878.7,8312.9,9884.4,13054.7,17241.5,19167.7,23969.0,28743.5,32735.9,36922.3,39612.2,44451.2,5665.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1785.2,2764.2,3355.1,3881.3,4917.6,5879.5,7044.2,9146.0,11794.5,14044.5,16825.4,20934.6,23343.3,27103.5,29112.8,34161.8,4361.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2886.4,4363.2,5560.6,6497.5,7851.7,9271.1,11042.2,14668.1,17579.7,20329.4,24231.2,28944.8,32817.5,39256.7,42735.0,47491.1,5146.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1389.1,2096.5,2542.5,3006.1,3633.5,4310.9,5112.3,6712.1,8531.7,9760.6,11680.5,14903.3,15790.9,19114.9,20750.8,23665.2,3266.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2138.8,3343.9,3960.2,4763.0,5896.8,7429.3,8539.7,11173.5,13595.7,16424.5,19065.2,22267.0,25887.5,30918.0,33207.9,38787.9,3820.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,5481.8,6957.5,7996.1,9658.3,11849.3,14379.2,17238.1,21676.9,25702.4,28030.1,31898.1,38287.0,39179.5,47789.3,53314.9,56206.4,7234.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2319.9,4120.4,4872.3,5453.9,6812.6,8262.3,8826.5,11763.3,15243.9,17962.6,19264.1,22920.8,26442.9,31472.3,34513.6,39316.700000000004,5026.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1183.8,1793.7,2259.2,2646.8,3017.7,3760.6,4294.8,5410.4,6126.8,7604.6,8301.5,10065.4,11783.3,13196.2,14788.5,17065.6,1983.6
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3603.8,5088.1,6318.8,7288.0,8889.2,10663.0,12183.2,15722.9,18815.6,20657.7,23042.8,28205.2,31173.2,35946.9,39450.2,48368.9,6883.3
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2642.8,3818.2,4764.7,5776.5,7244.1,9119.6,9932.9,12564.1,17493.4,18382.5,21505.9,27095.3,32130.4,37780.5,41792.2,45377.3,4905.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1999.2,2743.9,3458.0,3973.1,5109.8,6324.4,7664.2,9317.8,12676.7,14334.8,16779.4,19699.8,23533.5,26824.2,29038.3,31434.0,4770.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
