Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1782.8,2826.2,1910.5,3752.3,3657.8,3377.7,3139.2,2759.3,3810.8,4714.8,3100.9,3335.2,6157.5,6938.3,9302.5,12382.6,2878.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,11.3,16.1,12.8,19.5,24.3,27.1,32.5,40.0,46.8,88.4,78.2,84.6,57.7,79.3,110.4,191.5,27.2
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,40.4,87.6,106.0,178.2,170.2,105.0,191.7,223.7,268.7,288.7,252.5,357.6,465.7,340.1,451.9,637.2,143.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,25.6,34.9,38.1,112.7,49.7,115.0,68.5,84.3,96.7,182.2,101.0,120.8,167.2,137.3,182.7,215.5,50.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,85.3,81.7,20.3,90.3,33.1,37.6,74.4,88.2,68.8,80.7,76.5,90.6,98.4,76.0,135.4,215.0,39.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,30.9,55.9,61.9,96.5,45.5,24.4,61.9,86.5,103.0,145.3,110.7,139.1,118.3,96.0,106.7,188.8,55.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,55.8,60.6,32.9,76.9,60.0,65.9,76.7,60.4,103.4,95.2,50.3,59.2,50.7,60.3,91.7,75.3,14.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,291.4,44.7,42.3,58.5,100.1,85.0,139.1,177.0,209.0,291.2,197.8,246.8,259.6,244.7,315.2,390.3,95.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,66.6,97.8,96.2,215.5,124.4,173.7,213.6,214.8,251.1,305.5,191.8,243.0,323.5,315.2,409.5,516.5,119.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,52.1,73.0,55.4,129.5,25.9,72.8,54.7,109.0,168.5,176.9,134.8,141.0,145.6,157.4,237.4,348.4,77.4
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,43.8,18.4,41.5,99.7,177.2,90.4,72.4,103.9,96.4,105.0,143.6,178.5,226.7,212.0,180.7,198.5,42.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,296.1,685.0,403.1,496.0,661.0,651.3,316.4,280.6,405.6,530.1,501.9,469.8,609.2,613.4,678.6,991.7,242.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,82.4,63.2,51.8,93.8,104.9,140.0,142.5,227.4,221.5,306.5,319.0,393.0,428.0,466.1,514.7,703.8,80.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,13.5,14.6,15.7,56.9,9.3,19.7,36.5,61.6,76.9,131.1,119.0,119.7,143.8,193.0,286.9,352.1,68.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,687.5,1492.5,932.5,2028.4,1090.5,640.0,469.0,526.0,725.1,734.2,578.1,685.5,1020.2,1155.7,1588.8,1495.5,505.5
