Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,2030240.0,2065501.0,2126244.0,2177943.0,2230535.0,2310372.0,2395355.0,2492190.0,2617689.0,2747487.0,2870778.0,2965162.0,3015265.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,117160.0,120210.0,124729.0,128395.0,131364.0,136290.0,141813.0,147128.0,153864.0,160468.0,167241.0,172122.0,174089.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,20969.0,21567.0,21984.0,22240.0,22492.0,23538.0,24196.0,25358.0,27101.0,28803.0,30565.0,31349.0,31939.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,2958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,11886.0,12437.0,12769.0,13159.0,13457.0,13943.0,14452.0,15287.0,16002.0,16485.0,17014.0,17434.0,17419.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,11461.0,11621.0,12181.0,12580.0,3472.0,13833.0,14696.0,15092.0,15739.0,16385.0,16783.0,17091.0,17381.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,1534.0,1646.0,1706.0,1854.0,1962.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,3025.0,3209.0,3429.0,3402.0,5017.0,3543.0,3691.0,3633.0,3881.0,4161.0,4311.0,4238.0,4352.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,4798.0,4766.0,4645.0,4764.0,9115.0,5217.0,5757.0,5021.0,5505.0,5720.0,6401.0,6745.0,6890.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,7999.0,8267.0,8745.0,8864.0,3678.0,9544.0,9875.0,9916.0,10566.0,10825.0,11091.0,11658.0,11862.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,3103.0,3184.0,3456.0,3732.0,1905.0,3803.0,3737.0,3687.0,3530.0,3682.0,3740.0,3912.0,4167.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1807.0,1766.0,1793.0,1995.0,13136.0,1914.0,2095.0,2267.0,2374.0,2549.0,2721.0,2757.0,2829.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,2657.0,2759.0,2857.0,3032.0,3141.0,3216.0,3518.0,3853.0,4073.0,4441.0,4819.0,4961.0,5021.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,2958.0,0.0,0.0,0.0,0.0,5047.0,5383.0,5539.0,5765.0,6076.0,6227.0,6544.0,6872.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,2750.0,2646.0,2781.0,2630.0,2614.0,2525.0,2834.0,2860.0,3136.0,3264.0,3136.0,3222.0,3263.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,13455.0,14085.0,14782.0,15704.0,15741.0,16156.0,16825.0,17815.0,17792.0,18860.0,19766.0,19896.0,19534.0
