Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,4.8,4.9,4.9,4.8,4.9,4.9,4.9,5.0,4.7,4.6,5.1,5.0,4.8,4.7,4.7,4.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4.6,4.9,4.8,4.7,4.7,4.6,4.7,4.7,4.6,4.5,4.8,4.5,4.9,5.1,5.1,5.1
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,4.9,4.7,5.0,4.6,4.6,4.4,4.7,4.7,4.4,4.4,5.1,4.3,5.1,4.9,4.9,5.4
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,5.0,4.7,4.3,4.9,4.5,4.4,4.2,4.5,4.5,4.3,4.9,4.4,4.7,5.0,4.5,4.7
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,4.8,4.8,4.5,5.0,4.8,4.3,4.4,4.7,4.6,4.6,4.9,4.6,4.9,4.4,4.5,4.4
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.9,4.8,4.0,5.7,4.8
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,5.2,4.5,5.1,4.5,4.8,4.5,4.9,4.6,5.3,4.3,4.7,4.7,5.7,7.3,5.8,6.1
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,6.0,5.5,5.9,5.4,5.6,4.9,5.2,5.5,5.2,6.6,5.1,5.1,5.3,5.4,6.3,6.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,5.3,4.5,4.5,4.5,4.2,4.4,4.7,4.8,5.2,4.6,5.0,4.8,5.3,4.9,5.6,4.9
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,4.9,5.2,5.0,4.9,4.7,4.6,5.2,5.2,4.6,4.4,4.0,4.3,4.1,4.6,6.1,6.4
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,5.3,5.7,5.0,4.7,5.4,5.3,5.0,5.0,5.1,4.8,4.8,4.8,5.0,5.7,4.5,5.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,5.7,5.3,5.9,5.2,4.7,5.2,5.4,4.8,6.1,5.6,5.9,5.2,4.9,6.2,6.1,6.2
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,5.4,5.7,5.0,0.0,0.0,0.0,0.0,5.0,4.9,5.0,5.1,4.7,4.2,5.0,5.0,5.1
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,6.1,5.8,5.8,4.9,4.9,5.4,5.5,5.2,5.1,4.4,5.4,5.2,6.5,8.5,5.4,5.3
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,4.5,4.4,4.4,4.3,4.6,4.6,4.4,4.8,4.4,4.4,4.6,4.6,4.8,4.3,4.9,4.9
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,5.2,5.3,5.4,4.9,5.1,4.8,5.1,4.6,4.7,4.6,4.7,4.4,4.7,4.4,4.9,5.5
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,5.7,5.5,5.4,5.0,5.0,5.2,5.4,5.2,4.9,4.7,5.1,5.0,5.4,7.2,6.4,5.5
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,5.2,4.6,3.9,3.9,4.1,4.0,4.0,3.9,3.6,4.4,3.8,3.5,3.9,5.4,3.8,4.5
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,4.0,3.9,4.0,4.1,3.6,3.7,3.9,4.0,3.9,3.8,3.9,4.1,4.0,4.5,4.5,4.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,5.2,5.2,5.2,5.1,5.1,5.2,5.1,5.4,5.1,4.7,5.0,5.1,4.7,4.7,5.2,4.9
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,5.8,6.0,6.1,6.1,5.4,5.6,5.4,5.7,5.4,5.4,5.4,5.6,6.9,6.6,6.5,6.2
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,4.4,4.6,4.5,4.2,5.0,4.4,4.1,5.2,4.2,4.3,4.9,4.9,3.1,4.5,4.4,5.3
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,5.0,4.9,4.9,4.8,5.0,5.2,4.9,5.0,4.8,4.5,5.1,5.2,4.3,4.3,5.1,4.6
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,5.0,5.2,5.1,5.4,5.6,5.2,5.3,5.5,5.2,4.8,5.8,5.6,4.7,4.6,5.8,5.2
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,4.9,5.0,5.2,5.1,4.9,5.2,5.1,5.1,4.8,4.6,4.8,4.9,4.7,4.3,4.6,4.5
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,4.7,4.4,4.7,4.0,4.0,4.9,5.0,5.2,5.3,4.3,5.1,4.8,5.3,4.6,4.9,4.3
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,4.6,4.9,5.4,4.9,5.0,4.9,5.0,5.2,4.9,4.4,5.0,4.6,3.5,4.5,5.4,4.7
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,4.8,5.2,5.0,5.3,5.3,5.1,5.2,5.7,4.9,4.9,5.0,4.9,4.0,4.8,5.4,4.7
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,5.0,5.1,5.4,5.4,5.4,5.5,5.3,5.8,5.3,5.0,4.9,5.7,4.6,4.6,4.9,5.1
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,3.4,4.0,3.3,3.4,4.2,4.5,4.5,4.6,4.8,3.7,4.6,4.3,4.1,4.1,4.7,4.4
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,4.7,5.0,4.5,5.0,5.3,5.1,4.9,5.2,4.8,4.3,4.3,4.7,3.6,4.1,4.6,3.9
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,4.7,5.3,5.3,4.7,4.9,5.2,5.2,5.4,5.1,4.8,5.0,5.0,3.8,4.2,5.1,4.6
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,4.7,5.0,5.1,5.1,5.0,5.2,5.3,5.4,5.3,4.7,5.2,4.8,4.4,4.5,5.1,5.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,4.6,4.9,4.6,4.5,5.0,4.6,4.9,5.0,4.8,4.4,4.6,4.8,4.2,4.4,4.6,4.1
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,4.8,5.4,5.4,5.0,4.9,5.0,4.9,5.3,4.8,4.7,4.7,4.7,5.5,4.3,4.7,4.4
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,5.3,5.2,5.4,5.4,5.4,5.4,5.9,6.0,5.6,5.1,4.8,5.3,5.1,4.8,4.9,5.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.2,4.4,5.2,4.7,4.5,4.3,4.7,4.5
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,5.1,4.9,4.8,4.8,4.8,4.8,4.8,4.9,5.0,4.9,7.0,5.7,5.4,5.3,5.3,5.1
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,5.3,5.7,5.5,5.5,5.2,5.4,5.5,5.2,5.6,4.9,6.2,5.8,5.8,5.7,5.1,5.1
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,4.6,4.3,4.1,4.6,4.1,4.5,4.3,4.7,4.0,4.7,4.8,4.7,4.4,4.5,5.3,4.8
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,4.0,4.0,4.0,3.8,3.9,4.2,3.9,3.9,3.8,3.9,4.9,4.2,3.7,3.6,4.5,4.2
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,4.4,4.4,4.3,4.3,4.4,4.3,4.2,4.2,4.3,4.1,5.0,4.5,4.1,3.7,4.6,3.8
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,4.5,4.6,4.6,4.7,4.4,4.6,4.6,4.6,4.5,4.3,5.2,5.1,4.7,4.2,5.1,4.7
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,4.6,4.4,4.8,4.6,4.9,5.0,5.0,5.2,4.4,4.8,5.5,5.0,3.4,4.0,5.6,5.2
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,4.8,4.4,4.7,4.5,4.8,4.5,4.4,4.6,4.0,4.7,4.7,4.6,4.9,4.9,4.4,4.6
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,3.3,3.5,2.7,3.0,2.8,3.5,3.5,2.9,3.1,3.2,3.9,2.3,4.5,3.8,3.0,4.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,4.0,3.8,3.7,3.7,3.5,3.8,3.9,4.0,3.7,4.0,4.0,3.7,4.4,4.1,4.0,3.6
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,4.0,4.0,3.8,4.1,4.1,4.0,4.3,4.2,3.7,3.6,4.5,4.1,4.0,3.7,3.5,4.1
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,4.2,4.3,3.7,4.0,4.1,4.2,4.0,4.2,3.9,4.1,4.5,4.0,4.5,3.8,4.0,4.1
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,4.3,4.4,4.5,4.3,4.2,4.4,4.3,4.5,4.1,4.7,5.0,4.2,4.5,4.4,4.7,4.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,4.2,3.9,4.0,4.0,4.1,4.2,4.2,4.4,4.2,4.0,4.3,4.2,4.6,4.6,4.1,4.1
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,3.8,3.8,4.1,3.8,3.9,4.1,4.1,4.2,4.1,3.7,4.7,4.2,4.4,4.3,4.5,4.3
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,2.9,3.0,2.7,3.3,3.2,3.0,3.1,3.2,3.3,3.0,3.1,3.2,4.0,4.8,3.3,3.1
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,4.4,4.5,4.5,4.5,4.6,4.2,4.6,4.8,4.3,4.6,4.5,4.6,4.9,4.9,4.3,4.2
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,4.5,4.4,4.6,4.5,4.6,4.7,4.8,4.7,4.5,4.4,4.7,4.7,5.3,4.8,4.7,4.4
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,3.9,3.9,4.3,4.4,4.3,4.6,4.1,4.5,4.1,4.3,4.5,4.0,3.7,4.8,3.8,3.8
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,2.9,3.3,2.9,3.4,2.7,3.3,3.7,3.7,3.8,3.7,3.4,3.8,4.0,4.4,3.4,3.8
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,4.1,3.7,4.0,4.3,4.6,4.3,4.3,4.7,4.3,4.0,4.3,4.6,5.9,4.4,3.9,4.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,4.0,3.3,3.7,3.7,3.4,4.1,3.9,4.1,4.0,3.6,4.2,3.9,5.0,4.3,3.7,4.3
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,3.1,3.1,3.1,2.5,3.6,3.5,3.1,3.3,4.0,3.5,3.0,3.5,4.0,3.5,3.7,3.1
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,3.0,2.9,2.6,3.1,3.4,4.1,3.5,3.7,3.4,3.4,3.9,3.6,4.6,5.5,3.6,4.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,3.6,3.5,3.4,4.1,3.8,4.7,4.5,4.7,4.2,4.0,4.2,3.7,4.6,4.7,4.3,4.5
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,3.6,4.8,4.1,3.8,4.6,4.2,4.4,4.8,4.3,4.0,4.4,4.1,4.1,4.1,3.9,4.0
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,4.4,4.1,4.2,4.0,4.3,4.7,4.7,4.4,5.4,4.6,4.6,4.3,5.3,5.8,4.8,4.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4.0,4.0,3.9,3.9,4.1,4.0,4.1,4.2,4.1,3.9,4.2,4.4,4.9,4.7,4.3,4.3
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,4.0,4.1,4.0,4.1,4.2,4.2,4.5,4.4,4.3,4.6,4.9,4.8,5.2,4.7,5.4,5.3
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.0,4.2,3.9,4.8,5.2,5.0,4.1,3.9
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.5,3.7
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,4.2,4.5,4.4,4.1,4.4,4.6,4.4,4.6,4.8,4.4,4.6,5.0,4.7,5.0,4.6,4.5
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,3.9,4.0,4.0,4.1,4.1,4.1,4.2,4.1,3.8,3.6,4.1,4.0,5.8,6.7,5.2,4.9
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,4.2,4.0,4.2,3.6,3.9,4.1,4.2,4.2,4.1,3.7,4.0,4.5,4.1,4.3,4.2,4.3
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,3.9,4.0,4.3,4.4,4.5,4.3,4.4,4.9,4.4,4.2,5.1,5.0,6.6,5.0,4.6,4.4
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,2.7,4.1,3.8,3.6,4.0,3.9,3.9,4.0,3.7,3.8,3.8,4.3,3.7,4.8,4.3,4.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,3.8,3.9,3.7,3.6,4.2,3.7,3.9,3.7,3.8,3.7,4.0,3.9,4.9,4.0,3.4,3.6
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,3.5,3.6,3.3,3.4,4.0,3.4,4.0,4.1,3.9,3.6,4.1,4.1,4.7,5.4,4.8,4.3
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,4.0,3.8,3.4,4.0,4.2,3.8,3.8,4.3,4.2,3.9,4.3,4.3,5.9,5.0,4.2,4.5
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,3.4,3.3,3.2,3.4,3.9,3.6,3.8,3.9,3.9,3.6,4.1,4.2,5.3,4.3,3.8,4.1
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,5.0,3.9,3.7,4.1,3.8,3.9,4.0,4.5,4.2,3.9,4.4,4.7,6.7,5.5,4.6,4.4
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,3.6,3.8,3.6,3.7,3.7,3.6,3.7,4.0,3.8,3.3,3.7,4.2,6.5,3.8,3.7,3.7
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,4.0,3.9,4.2,3.9,4.3,4.2,4.3,4.0,4.2,4.0,3.8,4.3,5.5,4.4,4.1,4.1
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,4.0,4.2,4.3,4.0,4.3,4.2,4.4,4.5,4.5,4.2,4.4,4.4,4.6,4.4,4.4,4.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,4.5,4.7,4.7,4.6,4.6,4.5,4.7,4.7,4.3,4.4,5.0,4.7,4.0,4.3,4.5,4.3
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,4.5,4.8,4.9,4.7,4.8,4.8,5.0,5.3,4.9,4.6,5.4,5.4,5.0,5.2,4.6,4.3
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,5.2,4.4,4.3,4.7,4.3,4.2,4.2,3.7,3.7,3.5,4.2,3.7,2.7,2.7,2.9,2.7
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.2,1.8,3.9,4.7,4.4
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,5.3,5.9,6.3,5.4,6.3,4.4,5.9,7.2,4.3,5.2,6.0,6.1,4.7,5.3,6.4,5.9
