Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.64,100.32,100.67,100.93,102.8,99.76,99.72,100.53,101.23,100.84,100.93,101.04,100.72,100.54,100.86,100.7,101.52,99.77,99.83,100.44,100.56,100.58,100.66,100.89,100.7,100.6,100.6,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.68,100.21,100.78,100.43,97.95,98.23,98.46,100.48,101.43,101.05,101.02,101.76,100.82,100.57,101.45,100.75,99.2,98.92,98.96,100.61,100.86,100.87,100.98,101.45,100.8,100.9,101.2,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.5,99.71,101.18,102.62,101.91,100.87,101.53,100.89,101.4,97.06,94.22,97.68,98.77,95.92,97.71,99.38,99.73,100.27,99.89,100.02,99.56,96.98,94.26,98.35,99.0,99.1,99.6,98.7
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,99.53,99.74,101.05,100.14,100.35,99.83,100.19,100.66,100.82,96.92,94.66,97.56,98.96,96.04,97.49,99.36,99.46,100.02,99.64,99.81,99.71,97.59,95.6,97.95,99.0,99.0,99.6,99.1
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.03,100.0,100.2,100.46,100.25,100.55,99.93,100.32,100.45,97.44,94.6,98.48,99.32,96.65,98.3,99.22,99.36,99.92,99.43,99.82,99.39,98.01,97.34,98.61,98.8,99.9,100.0,98.3
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.72,99.57,100.18,100.76,100.37,99.87,100.84,100.28,101.09,100.62,97.11,100.63,100.04,99.81,100.43,100.59,100.23,100.34,99.89,100.07,100.08,100.48,100.38,100.12,100.1,100.5,100.2,100.4
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),98.71,99.47,99.11,99.41,99.64,98.51,98.94,100.12,98.68,99.64,98.53,99.21,99.9,99.8,99.55,100.29,100.62,100.33,99.96,100.16,100.87,100.4,100.05,100.2,100.6,100.5,100.5,100.5
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,99.97,100.8,100.32,99.63,101.31,100.43,100.13,100.32,101.11,100.64,98.99,99.64,100.48,99.31,99.89,100.99,101.37,100.18,100.58,100.19,101.15,100.78,100.36,100.11,99.9,100.5,100.8,100.0
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,100.35,100.28,99.76,100.43,101.22,100.46,100.48,99.99,101.02,99.82,100.04,99.95,100.66,100.25,99.01,100.54,99.33,100.45,100.19,100.49,100.75,100.53,100.41,100.8,100.2,100.3,100.6,100.2
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",99.89,99.91,100.29,100.01,100.76,100.3,99.89,99.88,101.87,100.7,99.98,99.8,100.45,99.69,100.5,100.51,100.6,100.07,99.6,99.8,100.8,100.76,100.08,100.32,100.1,100.7,100.5,100.4
