Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1*
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,10132.9,13586.8,17114.6,23312.0,30907.0,39643.5,50654.5,61367.8,87962.0,83344.2,103020.8,124907.9,143892.7,177892.0,280443.8,383886.1,79658.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,205.4,259.5,338.4,533.1,713.3,1006.3,1133.4,1365.4,2219.3,2517.5,3457.4,3675.4,3606.7,5314.6,8897.3,12027.1,2930.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,726.4,1055.6,1291.9,1880.8,2446.8,3115.3,4011.2,4572.2,5820.9,5878.3,7776.8,9772.8,12180.9,16361.8,27009.9,41039.9,8664.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,477.0,639.1,803.7,1117.7,1592.9,2121.0,2563.2,2795.1,3568.6,4778.7,6170.9,8048.8,9104.5,9716.1,17318.4,22952.1,4560.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,221.0,303.3,350.8,461.3,579.4,773.6,1182.3,1629.5,2390.8,2638.0,3808.1,4533.2,5700.8,4824.6,6982.7,9252.3,2098.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1441.2,806.5,955.3,1501.8,1754.2,2187.0,2596.2,2526.2,3191.6,4062.2,5049.0,5124.1,5213.0,6248.0,14188.1,19668.5,3656.2
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,350.8,476.2,640.4,992.4,1305.1,1802.9,2215.6,2532.0,3837.8,3746.3,4257.3,4892.9,6070.5,7863.1,13271.9,18559.7,3029.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,429.1,609.2,784.6,962.2,1385.7,1773.3,2410.5,3352.4,4745.2,5002.7,5586.1,7229.5,8112.6,10133.7,15889.8,22154.4,4637.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,922.6,1258.4,1487.4,1865.3,2539.4,3415.3,4475.6,5171.7,7717.0,6402.1,8723.3,9616.8,11131.9,14852.5,22858.0,28625.8,6454.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,192.3,296.5,362.9,449.2,608.2,747.6,995.7,1204.6,1558.6,1736.4,2413.2,3378.6,3066.0,4264.8,8630.7,12301.6,2590.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,249.7,331.3,400.0,628.5,873.9,1136.3,1639.5,1888.6,2654.1,2518.9,3017.7,3860.4,3677.2,4865.8,8249.8,13792.8,3638.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,1178.2,2103.6,2612.0,2734.4,3665.6,4440.6,5737.5,6514.6,10885.4,11839.2,14707.1,14382.9,19650.2,26139.4,40811.0,54173.7,10696.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,733.6,1003.3,1254.0,1721.1,2329.7,3075.3,3652.0,3864.2,5368.5,7205.0,9987.0,12708.2,13323.4,17508.5,24160.7,35072.0,8229.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,244.1,337.1,415.8,575.0,687.7,1018.4,1336.5,1746.5,2397.8,2575.5,2971.1,2972.0,2932.5,3521.1,5509.1,9114.9,2042.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,2761.0,4107.2,5417.3,7889.0,10425.2,13030.6,16705.0,22204.8,31606.3,22443.4,25095.7,34712.2,40122.5,46278.1,66666.4,85151.4,16430.0
