Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,52658.5,109594.2,169208.7,232852.0,300019.0,368809.5,436783.9,505767.9,580459.1,657399.2,735641.9,840146.5,64784.6,136046.1,239905.6,290257.8,373481.0,458196.9,542563.1,628736.5,722166.1,818485.0,915971.1,1050292.5,80474.8,168182.9,293605.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1775.6,3780.3,5931.1,8076.1,10426.9,12728.1,14992.0,17336.8,19615.7,22321.5,24944.6,28758.8,2076.0,4446.5,7633.9,9620.5,12475.1,15351.5,18011.2,20955.9,23627.1,26886.2,30453.8,35196.2,2491.5,5563.5,9313.2
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,2546.3,5418.1,8508.1,11640.7,14980.1,18504.0,22081.8,25544.1,29302.8,33236.2,37190.9,43233.1,3114.6,6684.1,11851.9,14395.7,18615.7,23127.7,27703.4,32322.8,37032.5,41976.9,46870.3,53969.6,3882.4,8162.7,14355.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2097.7,4481.5,7277.4,9867.7,12608.4,15417.1,18200.7,21076.6,23908.8,27047.0,30093.8,34441.6,2551.2,5358.4,9699.7,11834.7,15133.9,18974.5,22267.0,25801.8,29510.4,33302.5,37215.7,42659.2,3104.2,6572.1,11716.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1218.4,2590.2,4038.7,5513.8,7268.0,8700.3,10317.1,11923.7,13652.9,15489.6,17383.0,19950.6,1478.8,3110.9,5511.0,6600.5,8890.4,10776.1,12716.9,14710.1,16913.0,19182.8,21407.8,24612.9,1747.5,3712.8,6750.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2594.9,5595.7,8788.7,12073.2,15568.6,19143.7,22649.9,26264.1,29791.0,33876.4,37864.2,43857.6,3170.6,6819.7,11570.2,14756.5,19048.5,23614.1,27884.0,32352.8,36694.4,41670.7,46682.5,54118.0,3882.3,8244.2,14096.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1252.7,2663.1,4134.1,5661.5,7484.5,9167.9,10831.7,12562.6,14432.5,16404.0,18372.1,20862.5,1506.3,3258.7,5880.0,7020.4,9208.9,11320.9,13390.7,15511.4,17788.7,20152.1,22571.2,25733.6,1880.9,4027.4,7083.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2562.4,5563.9,8692.8,11984.6,15562.8,18906.7,22282.4,25834.8,29705.4,33763.6,37784.4,44128.5,3159.3,6780.4,12249.2,14636.4,18950.0,23461.0,27691.2,32125.5,36979.1,41951.3,47160.2,56282.9,4069.4,8660.4,14833.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3610.9,7683.7,11904.0,16534.2,21445.6,26294.4,31000.1,35920.5,42193.6,47942.3,53505.5,61018.0,4573.2,9611.2,17319.7,20608.0,26609.6,32572.7,38498.7,44726.4,53131.8,60330.5,67639.3,78163.0,5930.6,12455.1,21620.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1748.7,3718.8,5826.8,8008.4,10300.5,12509.3,14803.5,17134.8,19553.8,22187.3,24769.2,28655.2,2116.8,4540.6,7852.1,9711.4,12584.7,15369.4,18238.2,21137.2,24192.1,27486.8,30797.3,35561.3,2572.9,5483.7,9650.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,710.0,1496.6,2362.6,3229.9,4144.9,5152.2,6070.5,7041.2,8074.6,9184.7,10376.9,11967.6,852.9,1813.6,3210.5,3868.4,5103.4,6350.9,7475.4,8660.4,9920.6,11281.7,12607.8,14611.4,1027.6,2227.7,3913.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3548.7,7416.4,11484.1,15680.4,20325.8,24721.9,29339.5,33968.2,38877.9,44146.1,49591.4,57341.7,4283.7,9080.2,16242.6,19264.4,25108.1,30933.4,36647.7,42465.6,48839.8,55285.8,61798.9,71783.7,5214.9,10915.5,19767.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,3386.3,7178.4,11217.3,15445.7,19874.7,24593.8,29049.0,33633.2,38738.6,44029.7,49205.9,56780.6,4241.6,8911.1,16100.1,19176.6,24685.7,30833.7,36303.3,42207.2,48766.9,55512.8,61925.2,71765.9,5258.4,11168.4,19803.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1727.5,3695.5,5778.3,7966.0,10278.2,12660.6,14949.3,17319.4,19973.1,22709.2,25376.3,29193.0,2112.9,4468.3,8297.9,9826.4,12753.0,15791.7,18621.3,21586.2,24948.2,28403.8,31797.5,36911.6,2715.2,5843.7,10307.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,19767.6,40585.4,61930.2,85792.7,110061.0,136895.9,162729.0,188867.2,217387.8,246060.8,274665.0,310103.4,24931.8,51634.5,93118.5,111398.5,141794.2,173615.4,207101.3,239633.6,275415.3,312217.8,349947.7,397414.2,32321.9,67015.2,117306.2
