Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,850798.2,873678.7,873660.9,923647.3,1003069.8,1012281.8,992909.0,1077166.6,1358406.9,1376538.6,1375709.0,1413355.3,1602877.1,1582290.6,1605979.8,1587132.7,1821185.0,1795206.0,1794373.9,1783904.7,1978680.6,1939299.7,2063679.4,2127773.2,2476944.7,2525673.6,2387257.2,2370605.2,2676397.2,2662360.5,2597447.8,2624133.7,3138426.4,3110313.1,3138738.3,3243380.0,3508087.2
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,956110.7,970520.5,971214.7,1020869.6,1090360.4,1096667.0,1127871.8,1201155.9,1364715.1,1381233.2,1439347.8,1488216.3,1650393.9,1687239.9,1655344.0,1651491.3,1749854.4,1761500.6,1802474.4,1874732.7,1960512.2,2048890.3,2114048.1,2190021.3,2271051.5,2398928.3,2488230.3,2496456.2,2675458.5,2687660.4,2706149.6,2821418.3,3188536.9,3216827.8,3304855.8,3439400.9,3493322.4
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,994130.2,1019150.3,1007671.1,1069230.2,1161536.4,1195829.3,1225217.6,1230690.7,1368073.2,1381699.1,1434309.5,1499479.4,1769348.0,1708667.5,1640271.4,1706456.1,1853040.2,1840485.6,1887336.7,1972177.4,2010845.5,2054347.1,2171908.2,2216287.1,2375655.7,2511866.2,2545353.8,2628325.2,2853362.3,2802933.7,2792586.9,2890514.9,3277058.8,3433640.8,3431749.8,3634894.3,3930771.5
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,994388.5,1018863.5,1001822.8,1065251.4,1156648.3,1169971.5,1214663.8,1320011.0,1690952.0,1650554.4,1713134.8,1789572.5,2066614.1,1965754.4,1874126.1,1878734.3,2067672.6,2044735.1,2001569.8,2105083.0,2108646.4,2171696.5,2254260.5,2322272.0,2699696.8,2751287.3,2713628.2,2738961.2,2881224.8,2959724.4,2939601.4,3065418.0,3566757.8,3591780.9,3670754.6,3822545.8,3938786.4
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,915830.8,907895.8,914050.1,978017.9,1073833.5,1100892.7,1134426.9,1224482.5,1481689.3,1502340.1,1569847.5,1626308.5,1810138.1,1810029.3,1722797.6,1733328.7,2091370.8,2191988.6,2134746.2,2215933.2,2454402.3,2459770.8,2575477.3,2668490.1,2965508.5,3294310.4,3411871.9,3541461.1,4114661.3,4115919.9,4069303.1,4264123.3,4238172.7,4340793.2,4523982.4,4695374.0,4592333.9
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,935876.4,966714.6,969065.6,1042551.4,1047880.0,1071315.1,1092017.7,1170788.3,1469754.7,1455972.6,1492579.1,1500244.7,1737839.8,1686513.8,1700117.2,1715042.7,1806367.1,1863618.1,1862997.9,1953832.6,2192918.7,2163541.0,2176519.7,2237253.0,2323720.9,2486886.3,2562758.8,2599470.2,2684218.6,2778574.2,2727237.8,2858701.0,3299392.7,3252566.6,3379158.5,3482246.3,3578359.2
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,990606.8,1026985.4,1029680.6,1101386.9,1160124.7,1161726.5,1151479.5,1279834.4,1586809.2,1578309.5,1588903.0,1657857.9,1918532.8,1829976.0,1724708.9,1789899.9,1978910.5,2023197.5,2004454.5,2088676.8,2404235.4,2439546.0,2577011.4,2667776.7,2805027.8,2923549.7,2962374.9,3040898.8,3248549.4,3348203.5,3352605.9,3441586.2,3837004.3,3886167.0,4028473.0,4160035.6,4177756.5
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,1603665.6,1690752.4,1852388.7,2052348.8,2085528.4,2277834.8,2412452.6,2717673.2,2698111.9,2788804.4,3133898.4,3403401.0,4129842.5,3800772.6,3896721.8,4049730.1,3635500.3,3662521.2,3824683.5,4309483.6,4393878.2,4813155.0,5134457.2,5543271.6,5082120.7,5745637.3,5870943.4,6467550.3,7520201.9,7395690.5,7382331.7,7540660.0,6686569.3,7053704.7,6845656.4,7404321.3,8445655.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,1013270.9,1040851.5,1045374.1,1117976.0,1128376.8,1130453.1,1144252.8,1237914.6,1465456.2,1476580.0,1550396.1,1640994.6,1794320.5,1770070.1,1743352.9,1749843.8,1849691.0,1823519.2,1808680.1,1887386.4,2273768.5,2348145.4,2482161.6,2560880.0,2766648.4,2853839.9,2840502.1,2864524.5,3169015.8,3071298.2,3042635.3,3152945.4,3433541.7,3576107.3,3690791.2,3823317.0,4105789.5
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,927890.4,958531.6,989943.0,1047763.4,1197057.0,1209978.2,1227888.3,1251827.4,1449932.6,1400103.9,1454864.4,1492716.4,1919433.3,1813795.7,1779461.8,1818263.0,2084256.9,2072276.6,2083327.4,2198967.4,2325211.0,2490537.1,2698377.5,2722790.1,2507634.7,2630607.3,2717411.1,2741516.0,3338554.3,3306819.4,3311982.1,3358962.8,3834240.0,3848203.8,3962645.5,4096022.3,4150916.6
