Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,57.1,56.8,65.0,71.0,73.7,81.4,87.2,95.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1.5,1.6,1.3,1.9,1.6,1.7,2.0,2.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,8.4,5.8,7.3,8.8,6.1,7.2,7.3,7.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1.6,1.3,2.1,2.2,3.1,3.2,5.2,5.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2.5,2.4,2.5,2.5,2.5,2.9,3.1,3.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3.8,3.5,3.9,3.9,6.1,6.7,6.1,6.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3.5,2.6,1.9,1.8,2.5,2.7,3.2,3.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,12.4,11.1,10.5,9.9,11.3,11.8,10.4,12.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,5.8,11.7,13.9,11.3,12.1,14.0,14.8,16.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,5.7,6.8,8.0,7.4,8.7,9.7,10.0,10.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1.4,1.6,1.3,5.6,2.9,2.3,1.9,1.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,6.7,2.7,4.5,5.1,5.2,5.2,6.6,7.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1.1,1.7,1.0,1.4,2.3,2.8,5.1,5.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,2.2,3.8,6.7,9.0,9.1,11.0,11.2,12.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.5,0.2,0.1,0.2,0.2,0.2,0.3,0.3
