Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,108584.1,3076.0,31653.8,77944.3,122362.7,3730.4,36945.6,86726.8,135200.2,4432.6,37497.8,89805.1,149440.7,4787.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4349.5,146.7,806.0,2188.6,4616.2,174.9,899.5,2659.4,5085.3,214.9,966.3,3064.4,6199.3,117.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,12402.0,309.6,4173.0,9002.9,13145.6,373.5,4456.2,9530.7,14442.3,412.0,4469.8,9155.0,17443.1,431.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,10545.0,320.3,2547.8,6878.2,11232.9,384.1,2980.8,7178.4,11544.5,463.8,3094.3,7346.9,12947.8,471.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,6583.5,127.9,1998.9,5035.0,7163.7,157.3,2292.0,5072.1,7976.0,181.0,2284.4,6049.0,10376.7,171.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,8878.0,192.5,2651.0,6987.9,10080.9,277.5,3023.6,8126.0,11431.4,344.5,3040.9,7884.8,12111.2,368.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3520.2,184.9,1209.0,2617.3,3932.3,212.9,1427.4,2860.5,4456.9,264.3,1491.6,3105.7,4911.9,296.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,9773.9,225.5,2589.4,6053.3,11822.5,280.1,2869.2,6353.0,12591.8,281.1,2864.5,6769.6,13747.0,344.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,15437.3,449.6,3313.5,13219.5,18736.7,570.5,4021.2,16073.4,21654.5,722.1,4407.1,15328.5,21208.1,1072.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,6828.2,320.8,2671.6,5190.6,8177.3,366.5,3304.0,5918.2,9172.3,411.3,2951.2,6052.5,9169.3,400.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,4538.1,118.9,1325.9,3232.0,4706.8,139.2,1479.9,3133.3,4785.6,168.9,1518.6,3180.1,5515.8,145.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,6099.9,250.9,1834.3,4200.9,6496.8,290.8,2012.7,4527.5,6928.8,328.7,2233.9,5043.5,8492.8,247.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,13256.6,260.2,5066.2,9202.7,15593.9,295.5,6284.7,10909.8,18101.1,388.0,6196.3,11801.5,19662.2,471.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,6371.9,168.2,1467.2,4135.4,6657.1,207.6,1894.4,4384.5,7029.7,252.0,1978.9,5023.6,7655.5,251.2
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
