Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3171.9,3795.1,4887.5,7196.0,8750.7,10157.0,12050.0,11737.6,12578.4,13001.7,13357.8,14066.9,14700.4,15835.1,16631.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,95.0,124.0,171.7,291.9,335.0,364.0,472.0,505.2,581.8,730.9,753.0,799.3,833.3,877.2,906.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,407.0,447.0,579.0,702.0,949.0,1203.0,1505.0,1074.7,1054.9,1132.3,1182.5,1204.5,1229.6,1312.0,1362.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,405.0,464.0,680.0,917.0,1118.1,1233.0,1693.0,1747.2,1787.8,1907.3,1946.3,2160.8,2292.8,2484.6,2582.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,242.0,332.0,472.0,648.3,810.1,999.0,1148.0,1043.6,1087.5,1128.7,1145.1,1157.7,1202.2,1300.1,1375.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,152.0,253.0,316.0,631.0,796.0,916.0,1032.0,1049.5,1144.2,1219.6,1239.0,1244.4,1350.3,1465.6,1606.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,248.0,308.0,368.8,605.4,708.1,870.0,890.0,929.3,1027.5,1035.4,1072.4,1108.8,1129.4,1184.8,1214.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,281.0,307.0,384.0,521.0,643.2,783.0,902.0,1197.4,986.9,1054.4,1073.4,1076.8,1119.3,1289.3,1375.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,182.0,210.0,331.0,604.0,758.0,943.0,1287.0,1008.7,1213.5,1001.2,1049.3,1141.5,1221.2,1288.1,1359.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,197.5,230.7,292.0,406.0,466.7,493.0,505.0,512.5,704.9,737.4,802.4,877.4,906.2,976.2,1035.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,86.0,123.4,163.0,173.0,192.3,213.0,236.0,209.3,262.7,267.5,274.5,347.9,371.6,395.2,409.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,126.4,171.0,237.0,288.2,355.0,384.0,406.0,418.3,496.1,457.4,458.4,508.9,548.3,594.7,598.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,362.0,409.0,434.0,707.2,904.2,1005.0,1174.0,1240.1,1274.5,1320.5,1337.7,1413.2,1375.2,1459.1,1552.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,388.0,416.0,459.0,701.0,715.0,751.0,800.0,801.8,955.8,1009.1,1023.8,1025.7,1120.5,1208.2,1252.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0
