Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,532.6,494.4,536.5,530.2,426.1,453.1,502.8,529.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,10.6,9.3,13.2,13.0,12.9,10.2,11.4,14.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,71.6,69.7,87.6,68.3,71.2,67.7,70.1,72.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,144.5,137.0,126.0,131.3,33.6,91.6,98.9,101.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,6.4,6.9,9.1,7.7,7.3,4.9,4.8,6.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,30.2,25.6,28.6,32.2,24.5,21.2,28.1,32.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,14.5,25.6,20.6,22.9,21.3,17.6,21.0,20.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,21.3,25.3,32.6,30.5,25.5,23.4,24.9,28.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,13.8,20.0,24.5,34.5,37.1,33.7,39.4,34.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,18.3,15.1,15.4,15.2,14.8,15.2,16.8,17.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,3.3,3.5,4.6,5.0,4.6,3.9,4.2,3.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3.4,5.3,5.7,7.4,6.7,8.6,8.5,8.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,175.2,129.4,146.9,145.9,150.6,138.3,156.1,171.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,19.2,21.5,21.5,16.1,15.9,16.7,18.5,20.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1
