Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,62.3,87.3,75.0,67.7,63.1,86.1,73.3,67.8,63.0,85.6,75.0,69.1,62.3,81.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,59.8,85.2,77.9,69.8,62.1,84.6,77.2,70.2,63.7,83.4,77.2,69.3,59.6,85.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,61.0,88.3,71.0,65.2,63.8,86.9,71.1,66.6,63.5,86.3,73.0,69.2,59.0,83.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,62.4,86.8,78.0,70.6,64.8,84.9,76.3,71.2,64.9,85.3,77.1,72.7,65.1,79.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,63.5,93.3,73.6,67.8,65.5,92.1,73.1,70.9,66.8,91.1,75.4,70.1,62.5,90.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,67.5,91.4,79.8,70.8,69.2,89.1,79.2,70.0,69.0,89.2,82.1,73.8,69.5,88.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,70.5,83.1,77.5,75.4,72.0,81.4,76.0,75.5,71.9,81.2,77.1,75.8,72.1,76.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,57.6,85.3,72.0,68.2,56.4,84.1,70.9,68.7,55.9,85.1,72.4,69.2,55.9,79.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,57.9,88.8,77.7,60.2,58.1,87.5,75.7,58.4,57.2,86.6,76.1,61.3,59.6,79.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,67.6,84.2,76.6,71.9,67.6,83.8,74.3,71.2,67.7,83.7,77.6,71.6,68.7,80.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,48.6,85.3,63.8,55.6,50.5,83.0,62.2,59.4,52.3,82.1,64.2,60.8,49.8,78.6
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,66.4,84.4,78.4,70.8,64.1,82.6,75.8,71.8,64.3,80.9,75.8,71.9,61.9,77.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,56.6,88.1,65.4,63.2,56.6,87.1,61.4,61.1,55.1,86.3,64.0,61.2,55.3,80.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,67.7,88.0,80.6,73.3,68.0,88.0,78.2,72.9,68.7,88.4,79.6,73.8,69.3,81.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
