Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,101.0,100.64,100.84,101.53,100.5,99.81,99.83,100.54,101.09,101.31,101.22,101.26,100.87,100.51,101.53,101.47,101.03,100.94,99.92,100.52,101.03,101.24,101.34,101.23,100.82,100.54,101.01,100.83,100.49,99.71,99.84,100.54,101.24,101.04,101.13,101.24,100.64,100.32,100.67,100.93,102.8,99.76,99.72,100.53,101.23,100.84,100.93,101.04,100.72,100.54,100.86,100.7,101.52,99.77,99.83,100.44,100.56,100.58,100.66,100.89,100.7,100.6,100.6,100.6
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,101.24,100.57,101.22,103.01,100.48,99.05,99.09,100.68,101.18,101.93,101.91,102.03,101.28,100.57,102.46,102.05,101.16,101.05,98.95,100.69,101.39,101.38,101.98,101.69,101.04,100.72,101.63,101.24,100.51,98.89,99.1,100.57,101.81,101.25,101.25,101.31,100.68,100.21,100.78,100.43,97.95,98.23,98.46,100.48,101.43,101.05,101.02,101.76,100.82,100.57,101.45,100.75,99.2,98.92,98.96,100.61,100.86,100.87,100.98,101.45,100.8,100.9,101.2,101.0
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,100.46,100.59,100.64,100.39,100.39,100.5,100.53,100.6,100.68,101.12,100.84,100.78,100.5,100.47,101.14,101.4,101.27,100.88,100.91,100.4,100.7,100.93,100.89,100.77,100.63,100.33,100.67,100.54,100.45,100.4,100.34,100.4,100.98,101.0,100.71,101.0,100.41,100.23,100.48,101.0,100.32,100.79,100.66,100.71,100.8,100.65,100.96,100.44,100.34,100.29,100.15,100.41,101.68,100.19,100.23,100.29,100.32,100.38,100.47,100.27,100.4,100.2,100.3,100.3
1.04,Xizmatlar,Услуги,Services,Хизматлар,101.39,100.83,100.43,100.49,100.71,100.23,100.15,100.19,101.54,100.45,100.53,100.53,100.66,100.46,100.39,100.47,100.41,100.83,100.28,100.39,100.84,101.46,100.8,101.06,100.68,100.53,100.38,100.52,100.53,100.22,100.48,100.68,100.59,100.74,101.54,101.49,100.88,100.68,100.73,101.77,115.22,100.92,100.52,100.4,101.46,100.76,100.77,100.67,101.07,100.82,100.7,101.0,105.91,100.8,100.92,100.33,100.34,100.29,100.33,100.66,100.8,100.6,100.2,100.4
01,Oziq-ovqat mahsulotlari va spirtsiz ichimliklar,Продукты питания и безалкогольные напитки,Food and non-alcoholic drinks,Озиқ-овқат маҳсулотлари ва спиртсиз ичимликлар,101.27,100.54,101.24,103.12,100.49,98.98,99.01,100.66,101.15,101.99,101.89,102.06,101.26,100.58,102.53,102.07,101.12,101.09,98.85,100.61,101.32,101.33,101.99,101.66,101.1,100.76,101.58,101.26,100.4,98.64,99.01,100.55,101.9,101.17,101.19,101.38,100.69,100.19,100.79,100.4,97.81,98.1,98.33,100.44,101.4,101.04,101.02,101.83,100.83,100.57,101.48,100.74,99.11,98.83,98.88,100.61,100.89,100.89,101.0,101.51,100.8,101.0,101.2,100.9
02,"Spirtli ichimliklar, tamaki mahsulotlari","Алкогольные напитки, табачные изделия","Alcoholic drinks, tobacco products","Спиртли ичимликлар, тамаки маҳсулотлари",100.6,102.03,100.84,101.11,100.32,100.75,100.31,100.4,101.4,100.89,100.97,100.77,100.8,100.52,100.75,100.82,101.11,100.43,100.35,101.49,101.01,100.77,101.42,100.78,100.25,100.28,101.31,101.01,100.89,101.84,100.45,100.58,100.85,100.88,100.68,100.94,100.54,100.98,100.62,100.91,100.82,100.67,101.22,100.82,100.95,101.35,100.96,100.49,100.51,100.48,100.23,101.0,101.08,100.25,100.26,100.42,100.52,100.45,100.49,100.27,100.4,100.3,100.3,101.7
03,Kiyim va poyafzal,Одежда и обувь,Clothes and footwear,Кийим ва пояфзал,100.44,100.26,100.33,100.23,100.24,100.15,100.23,100.26,100.47,100.77,100.76,101.22,100.85,100.76,100.13,101.06,101.18,100.68,100.28,100.32,100.69,101.04,101.06,100.99,100.87,99.91,100.14,100.44,100.44,100.26,100.2,100.13,100.86,100.69,100.67,101.43,100.15,100.36,100.39,100.02,100.27,100.23,100.53,100.22,100.41,100.53,101.17,100.69,100.34,100.24,100.18,100.24,100.05,100.17,100.09,100.13,100.17,100.22,100.7,100.15,100.2,100.2,100.3,100.2
04,"Turar joy xizmatlari, suv, elektr, gaz va boshqa yonilg'i turlari","Жилищные услуги, вода, электричество, газ и другие виды топлива","Housing services, water, electricity, gas and other fuels","Турар жой хизматлари, сув, електр, газ ва бошқа ёнилғи турлари",102.27,100.34,100.38,100.18,100.01,100.23,100.12,100.14,100.36,100.23,100.12,100.41,100.29,100.16,100.43,100.49,100.47,100.48,100.3,100.18,100.46,101.18,100.4,100.18,100.18,99.98,100.56,100.84,100.13,100.18,100.53,100.64,100.45,100.47,101.14,101.1,100.86,100.71,100.56,102.83,128.51,100.18,100.43,100.17,100.47,100.26,100.65,100.16,100.29,100.08,100.25,100.61,110.67,101.03,101.4,100.3,100.38,100.5,100.56,100.3,100.2,100.5,100.3,100.4
05,"Uy-ro'zg'or asboblari, maishiy texnika va turar joylarga kundalik xizmat ko'rsatish","Предметы домащнего обихода, бытовая техника и текущее обслуживание жилья","Household items, appliances and routine home maintenance","Уй-рўзғор асбоблари, маиший техника ва турар жойларга кундалик хизмат кўрсатиш",100.46,100.61,100.78,100.54,100.31,100.7,100.64,100.42,100.86,100.63,100.56,100.75,100.82,100.73,101.33,101.4,101.56,101.09,100.7,100.6,100.79,101.23,100.98,101.0,100.58,100.19,100.93,100.81,100.51,100.46,100.34,100.23,100.96,100.63,100.4,101.36,100.19,100.09,100.32,100.3,100.41,100.24,100.62,100.49,100.72,100.59,100.76,100.63,100.45,100.22,100.25,100.3,100.13,100.14,100.08,100.12,100.15,100.06,100.24,100.12,100.4,100.4,100.3,100.2
06,Sog'liqni saqlash,Здравоохранение,Health care,Соғлиқни сақлаш,100.78,100.97,100.93,100.86,100.59,100.38,100.35,100.31,100.8,100.96,100.38,100.88,101.18,100.59,101.29,100.94,101.66,101.02,100.46,100.66,102.14,102.81,101.29,101.52,100.97,100.44,101.26,101.27,101.17,100.47,100.47,100.3,101.0,100.72,100.52,100.75,100.54,100.79,101.81,106.88,101.16,101.63,101.63,100.66,101.33,101.16,100.77,100.71,100.94,100.63,100.13,101.34,100.29,100.66,100.18,100.27,100.24,100.34,100.25,100.21,100.5,100.6,100.6,100.2
07,Transport,Транспорт,Transport,Транспорт,100.5,101.02,100.51,100.65,101.05,100.68,100.83,101.4,101.11,102.47,102.28,100.11,99.55,100.04,101.91,100.83,100.25,100.96,102.15,100.14,100.3,100.36,100.64,102.21,100.74,101.99,100.14,99.57,100.25,100.46,100.81,101.46,101.14,103.49,102.56,101.64,101.19,100.45,100.54,100.18,100.17,102.19,100.24,101.49,101.03,100.58,101.45,100.8,100.21,101.6,100.43,100.99,105.24,100.28,100.5,100.43,100.49,100.25,100.38,100.71,100.3,100.5,99.8,100.5
08,Axborot va aloqa,Информация и связь,Information and communication,Aхборот ва алоқа,100.14,100.35,100.36,100.2,100.13,100.28,100.33,100.18,100.39,100.15,100.15,100.22,100.2,100.13,100.64,100.29,100.33,100.22,100.13,100.07,100.2,98.85,100.47,100.19,100.07,100.13,100.21,100.07,99.96,99.08,99.97,100.08,100.22,98.03,101.36,100.59,100.0,99.92,100.13,97.83,100.14,100.09,100.09,100.68,100.14,101.71,99.89,100.11,100.05,100.26,101.84,101.4,101.6,100.02,100.18,100.1,100.31,100.01,100.18,102.72,101.1,100.2,99.9,100.0
09,"Dam olish, sport va madaniyat","Отдых, Спорт и культура","Recreation, sports and culture","Дам олиш, спорт ва маданият",100.51,101.25,100.58,100.57,100.2,100.5,100.44,100.42,102.56,100.4,100.45,100.87,101.53,100.83,100.47,103.8,100.52,101.52,100.41,100.86,100.79,101.56,100.76,100.53,101.12,100.63,100.89,101.05,100.91,100.98,100.31,100.37,100.74,100.56,101.14,100.92,100.99,100.4,100.72,100.52,100.28,100.52,100.82,100.43,101.15,101.08,100.81,100.63,100.83,100.45,100.35,100.49,100.66,100.4,100.47,100.86,100.37,100.21,100.24,100.28,100.5,100.2,100.2,100.2
10,Ta'lim sohasidagi xizmatlar,Услуги в области образования,Services in the field of education,Таълим соҳасидаги хизматлар,100.11,100.49,100.18,100.17,103.79,100.1,100.08,100.09,105.65,99.91,100.25,100.34,100.18,100.21,100.14,100.09,100.3,100.38,100.11,100.33,100.26,101.33,100.28,100.4,100.17,99.56,99.74,100.08,100.37,100.18,100.06,99.97,100.55,100.62,100.2,101.01,100.29,100.31,100.03,100.15,100.25,102.91,100.16,100.48,107.55,100.66,100.31,100.36,103.49,100.14,100.0,100.04,100.03,100.16,100.11,100.17,100.29,100.27,100.15,100.19,100.1,100.1,100.1,100.0
11,Restoranlar va mehmonxonalar xizmatlari,Рестораны и гостиничное обслуживание,Restaurants and hotel services,Ресторанлар ва меҳмонхоналар хизматлари,101.52,101.11,100.82,101.05,100.35,100.39,100.66,101.26,101.64,100.88,102.45,101.66,102.3,100.39,101.33,101.9,101.87,100.76,100.78,102.02,102.89,102.83,101.79,102.53,100.96,100.21,102.76,100.8,102.84,103.18,100.61,101.0,100.53,102.65,102.59,100.03,101.5,100.37,100.49,100.83,100.64,100.65,100.66,101.33,102.2,101.14,101.16,100.62,100.86,100.6,100.98,100.95,101.0,100.88,100.52,100.69,100.39,100.51,100.52,100.4,100.7,100.6,100.8,101.3
12,Sug'urtalash va moliyaviy xizmatlar,Страхование и финансовые услуги,Insurance and financial services,Суғурталаш ва молиявий хизматлар,100.01,100.65,99.98,99.95,100.08,100.08,99.41,100.02,100.02,100.03,100.03,100.13,100.01,99.99,100.72,100.7,99.82,99.78,102.92,99.96,100.02,100.21,100.09,100.08,100.05,100.06,100.09,99.97,100.01,100.82,100.11,100.82,100.6,100.25,100.81,100.1,100.16,99.83,100.02,100.23,100.65,99.99,100.8,99.98,100.12,100.14,100.03,100.19,100.26,100.04,99.77,100.05,100.03,99.22,100.56,100.21,99.56,99.72,99.43,100.84,140.8,100.3,99.8,101.0
13,"Maishiy tovarlar va xizmatlar, ijtimoiy himoya va turli tovarlar va xizmatlar","Бытовые товары и услуги, социальная защита и разные товары и услуги","Household goods and services, social protection and miscellaneous goods and services","Маиший товарлар ва хизматлар, ижтимоий ҳимоя ва турли товарлар ва хизматлар",100.63,101.5,101.14,100.68,100.55,100.47,100.43,100.44,101.69,101.02,100.57,101.13,100.78,100.79,101.11,101.53,101.72,101.83,100.67,100.88,101.17,101.46,101.52,99.7,100.83,100.62,101.28,100.68,100.92,100.71,100.33,100.8,101.12,100.71,100.84,101.23,100.39,100.09,100.72,100.39,100.74,100.53,101.19,100.73,100.99,101.55,101.14,101.07,101.15,100.79,100.89,100.62,100.79,100.51,100.45,100.76,100.48,100.96,100.23,100.31,101.1,100.6,100.5,100.8
