Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2023-M05,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M1,2026-M2,2026-M3
9900,Xizmatlar eksporti,Экспорт услуг,Export of services,Хизматлар экспорти,55.8,126.3,361.9,835.3,380.1,511.4,661.3,843.4,1021.2,1219.2,1393.7,1543.5,1767.3,133.0,274.6,482.3,663.3,844.3,1097.2,1395.7,1653.0,1887.8,2109.6,2322.3,2547.5,149.6,298.3,495.4,660.6,1015.6,1255.6,1571.3,1807.9,2048.1,2286.4,3084.3,240.2,454.5,727.7,967.9,1224.1,1592.7,1903.2,2273.5,2703.7,2933.4,3251.0,3748.0,332.8,660.8,967.3,1341.8,1696.1,2070.1,2513.5,2924.5,3646.0,4066.7,4465.7,5270.6,443.0,844.0,1222.8
9901,Xizmatlar importi,Услуги импорта,Import Services,Хизматлар импорти,55.8,126.3,361.9,835.3,380.1,511.4,661.3,843.4,1021.2,1219.2,1393.7,1543.5,1767.3,133.0,274.6,482.3,663.3,844.3,1097.2,1395.7,1653.0,1887.8,2109.6,2322.3,2547.5,149.6,298.3,495.4,660.6,1015.6,1255.6,1571.3,1807.9,2048.1,2286.4,3084.3,240.2,454.5,727.7,967.9,1224.1,1592.7,1903.2,2273.5,2703.7,2933.4,3251.0,3748.0,332.8,660.8,967.3,1341.8,1696.1,2070.1,2513.5,2924.5,3646.0,4066.7,4465.7,5270.6,443.04456575683326,843.9820031810904,0.0
9902,Boshqa toifalarga kiritilmagan texnik xizmat ko'rsatish va ta'mirlash xizmatlari,"Услуги технического обслуживания и ремонта, не отнесенные к другим категориям",Maintenance and repair services not elsewhere classified,Бошқа тоифаларга киритилмаган техник хизмат кўрсатиш ва таъмирлаш хизматлари,1.0,2.3,7.1,22.7,9.3,16.4,26.9,37.5,41.3,46.4,51.0,53.7,58.4,3.6,6.2,12.1,15.1,18.4,23.2,37.6,41.1,45.0,48.1,50.6,63.8,6.8,14.0,17.1,20.3,27.5,51.7,61.4,74.3,85.4,92.2,113.7,10.5,17.9,25.8,31.3,35.6,44.9,52.6,62.7,72.1,105.9,111.2,116.0,5.9,10.6,15.5,26.8,33.4,39.1,44.7,50.3,70.9,81.3,87.1,96.3,8.5,14.9,24.4
9903,Transport,Транспорт,Transport,Транспорт,8.4,14.7,24.2,187.8,37.3,49.4,68.5,90.8,114.9,137.9,156.5,178.3,211.1,21.2,38.4,70.2,102.9,123.1,163.5,204.9,236.4,284.2,320.9,358.8,406.1,32.8,66.3,102.0,146.0,229.9,250.4,333.1,377.4,439.2,479.0,903.6,44.2,99.7,144.7,192.4,243.9,351.9,405.7,489.1,658.3,611.9,653.3,720.7,56.5,128.7,185.1,270.5,344.6,402.4,465.0,527.6,740.3,815.7,871.8,1251.1,82.7,161.2,242.0
9904,Safarlar (turizm),Поездки (туризм),Trips (tourism),Сафарлар (туризм),31.0,71.5,126.2,410.9,172.8,218.3,294.9,385.6,495.9,594.4,687.6,773.1,886.9,82.7,179.7,279.0,365.4,481.6,624.5,768.7,931.9,1068.1,1185.3,1303.9,1429.8,86.6,165.0,251.0,331.3,504.1,651.6,786.9,904.4,1038.3,1187.4,1339.3,146.8,251.1,404.5,528.5,655.2,816.4,999.2,1196.8,1358.4,1522.3,1709.0,1909.4,212.6,398.2,563.8,744.7,931.1,1157.9,1405.1,1662.4,1864.2,2087.7,2326.2,2581.6,248.9,451.3,608.5
9906,Sug'urta va pensiya xizmatlari,Услуги страхования и пенсионного обеспечения,Insurance and pension services,Суғурта ва пенсия хизматлари,0.01,0.2,1.1,31.4,1.2,15.8,16.4,17.0,19.8,24.0,26.2,30.1,30.4,0.1,0.6,1.2,4.5,11.3,16.1,18.5,19.1,20.1,22.9,24.3,26.6,1.1,1.4,4.5,14.2,35.4,39.4,41.4,49.0,54.3,57.9,62.9,2.4,14.2,16.9,18.7,20.8,23.2,26.4,33.0,37.0,39.6,43.1,52.2,2.8,5.8,14.9,21.1,29.5,34.0,44.7,47.4,86.1,102.3,110.4,115.0,2.7,7.4,15.4
9907,Moliyaviy xizmatlar,Финансовые услуги,Financial services,Молиявий хизматлар,0.6,1.1,6.9,22.0,7.6,12.6,13.3,16.7,17.6,24.2,24.9,25.6,29.5,3.0,2.1,6.4,7.4,8.7,12.6,14.8,16.9,24.4,26.2,42.6,49.2,1.5,4.7,17.2,19.1,24.0,26.3,28.4,32.3,34.9,37.8,50.3,1.4,4.8,6.6,8.7,14.0,16.4,20.1,24.0,26.6,29.6,33.5,42.5,2.5,5.2,10.4,15.3,23.7,29.3,35.8,42.4,46.3,52.0,59.5,64.5,3.6,6.3,9.1
9908,Boshqa toifalarga kiritilmagan intellektual mulkdan foydalanish uchun to'lovlar,"Сборы за использование интеллектуальной собственности, не отнесенной к другим категориям",Fees for the use of intellectual property not elsewhere classified,Бошқа тоифаларга киритилмаган интеллектуал мулкдан фойдаланиш учун тўловлар,2.2,3.0,24.3,38.5,25.2,29.4,37.2,39.5,40.7,59.3,66.6,67.9,81.0,2.8,4.3,20.8,29.6,40.8,58.8,65.4,85.3,87.1,90.0,91.6,113.6,1.6,3.0,33.8,35.6,41.8,46.7,48.6,63.2,78.4,81.6,106.7,8.1,9.5,34.5,37.9,49.5,62.1,74.5,81.8,107.7,111.6,126.7,142.2,1.4,6.8,42.9,46.1,48.0,68.8,77.3,84.9,122.2,126.3,132.5,159.4,2.7,9.2,39.6
9909,"Telekommunikatsiya, kompyuter va axborot xizmatlari","Телекоммуникационные, компьютерные и информационные услуги","Telecommunications, computer and information services","Телекоммуникация, компютер ва ахборот хизматлари",5.4,13.3,23.5,74.2,34.2,49.9,60.9,73.5,86.6,97.8,112.7,123.2,142.5,10.0,18.1,30.2,42.8,55.3,74.5,140.3,154.4,169.6,199.4,217.5,239.2,10.2,23.5,38.8,57.7,95.4,121.1,142.5,166.8,205.8,222.7,287.0,16.8,34.4,56.4,84.6,118.9,166.7,189.8,221.3,254.5,276.4,306.9,345.4,24.4,56.2,82.3,131.7,162.2,186.3,256.6,282.7,387.0,444.6,475.4,556.5,45.0,88.1,151.2
9911,Jismoniy shaxslarga xizmatlar va madaniyat va dam olish xizmatlari,Услуги частным лицам и услуги в сфере культуры и отдыха,Services to individuals and services in the field of culture and recreation,Жисмоний шахсларга хизматлар ва маданият ва дам олиш хизматлари,0.7,1.4,2.6,2.7,3.4,4.1,4.8,5.5,6.4,7.9,8.5,9.3,9.6,1.1,1.8,2.9,3.8,4.5,5.3,6.0,6.6,7.4,8.3,9.0,9.9,0.6,1.3,2.5,2.5,2.9,3.0,3.2,3.4,4.1,4.4,9.7,0.1,0.2,0.3,0.4,0.6,2.3,3.3,3.5,6.3,4.9,5.4,38.5,2.6,10.3,5.8,19.4,21.9,31.4,46.7,57.8,77.5,80.4,83.1,88.2,5.8,9.8,12.9
