Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,5.7,5.6,4.7,4.7,4.6,4.5,4.7,4.4,4.6,4.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4.6,4.5,4.3,4.3,4.4,4.4,5.3,3.9,6.8,7.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,3.1,3.1,2.0,2.1,2.0,2.0,2.0,2.1,2.2,2.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,5.7,5.6,5.4,5.2,5.1,5.5,7.0,7.8,8.8,9.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2.7,2.7,2.2,2.3,2.3,2.1,2.4,2.5,2.5,2.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2.5,2.4,1.9,2.0,1.9,1.9,2.3,2.1,2.4,2.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,7.4,7.3,7.0,6.7,6.4,6.4,6.4,6.6,5.9,5.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,4.4,4.3,3.0,3.0,3.0,3.1,3.4,3.3,3.0,2.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3.3,3.2,2.6,2.7,2.6,2.6,3.2,3.0,3.0,2.7
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2.3,2.2,1.4,1.4,1.5,1.5,1.7,1.8,1.6,1.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,5.0,5.1,3.2,3.3,3.3,3.4,3.6,4.1,4.5,4.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,5.2,5.1,3.8,3.9,4.0,4.1,4.1,3.2,3.4,3.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,3.5,3.5,2.2,2.2,2.2,2.1,2.5,2.8,3.8,1.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,4.7,4.6,3.8,3.9,3.9,4.0,4.5,4.6,4.7,4.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,27.0,26.8,26.6,25.9,24.6,22.3,20.0,16.9,14.8,14.4
