Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,73.9,169.2,188.0,218.9,214.9,239.4,260.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,3.7,7.0,11.6,17.1,12.2,14.3,17.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,11.9,32.5,36.6,34.0,36.4,36.8,51.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,26.4,26.1,29.3,33.9,28.8,30.3,35.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.1,3.0,3.5,3.8,4.0,4.2,4.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1.0,5.3,7.9,8.0,8.6,9.8,9.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1.0,2.1,5.9,6.6,6.9,9.0,9.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1.0,19.6,14.4,20.8,23.3,29.5,28.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,2.1,24.4,13.7,18.4,18.8,25.8,23.7
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.5,9.6,9.3,12.1,14.8,15.5,16.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.0,9.9,6.0,9.6,8.0,7.9,6.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,23.6,21.9,39.2,44.5,41.0,42.7,44.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2.4,3.1,3.7,3.1,5.3,5.7,6.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.2,4.7,6.9,7.0,6.7,7.8,7.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.1,0.1,0.1
