Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,13.7,18.8,14.0,26.2,27.0,27.0,26.0,22.0,27.2,27.0,20.5,20.0,31.2,27.9,34.1,36.6,49.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,11.5,15.2,11.2,17.0,23.0,28.4,7.6,8.6,10.2,20.5,21.6,20.3,16.4,24.3,28.5,44.0,28.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6.3,9.7,11.8,19.6,26.0,50.8,72.0,56.1,75.3,57.8,43.2,36.5,37.4,29.2,37.3,47.5,56.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,7.4,13.0,10.1,31.9,15.9,35.8,26.1,41.8,51.7,68.6,43.7,38.7,54.5,45.6,58.6,52.1,50.6
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,43.5,41.4,17.6,54.7,31.1,41.8,61.4,75.8,90.3,67.1,61.6,46.3,49.3,43.3,63.2,79.0,77.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,8.7,12.1,18.0,28.8,15.3,9.0,25.9,38.2,38.0,39.7,56.7,51.5,39.3,22.5,20.6,36.8,58.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,10.1,9.8,6.3,16.8,13.6,14.9,21.5,20.0,29.5,26.2,11.8,11.6,8.7,9.3,8.2,5.4,3.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,86.9,54.1,48.6,52.4,72.9,75.9,87.4,90.0,84.5,81.8,52.0,49.7,44.4,42.5,50.4,54.0,49.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,61.0,73.4,67.8,83.7,69.1,74.6,82.4,82.6,79.6,76.7,57.2,45.7,50.8,41.1,46.2,44.9,36.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,18.7,35.8,26.2,43.9,12.1,34.0,36.9,69.3,87.9,73.4,63.1,60.0,64.0,71.5,87.1,68.6,61.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,29.4,18.0,31.1,51.0,68.4,64.3,63.6,71.9,81.0,79.7,79.9,76.3,69.2,63.4,64.0,70.1,56.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,16.9,30.5,23.2,29.8,34.5,39.8,28.7,20.0,26.4,29.8,28.1,23.4,29.8,32.5,35.4,44.7,38.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,18.2,14.6,13.6,22.5,23.7,36.7,36.1,44.2,45.7,53.4,57.4,49.0,51.6,68.2,61.6,65.0,45.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,8.6,7.1,10.1,28.7,6.7,17.7,38.2,50.2,75.3,89.3,70.2,51.8,58.2,63.4,67.1,80.8,68.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,14.7,45.7,31.7,49.3,33.3,24.1,18.3,19.4,25.0,23.0,19.8,17.8,21.7,21.2,26.7,22.7,28.8
