Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M1,2026-M2,2026-M03
9900,Xizmatlar eksporti,Экспорт услуг,Export of services,Хизматлар экспорти,167.6,289.3,469.5,654.6,882.4,1139.3,1382.6,1639.4,1871.8,2102.7,2332.6,2581.7,194.1,382.8,632.2,931.2,1265.5,1616.2,2207.9,2633.6,3197.8,3669.3,4036.9,4456.7,299.3,592.6,1039.3,1478.6,1936.5,2472.3,2936.0,3428.3,3868.4,4420.0,4823.5,5640.4,403.6,728.8,1255.2,1837.1,2456.8,3145.5,3721.3,4440.1,5140.1,5702.9,6434.4,7204.4,492.1,1176.6,1835.2,2505.3,3247.6,4056.4,4846.9,5707.9,6762.1,7754.1,8478.3,9760.4,742.1,1449.1,2326.8
9902,Boshqa toifalarga kiritilmagan texnik xizmat ko'rsatish va ta'mirlash xizmatlari,"Услуги технического обслуживания и ремонта, не отнесенные к другим категориям",Maintenance and repair services not elsewhere classified,Бошқа тоифаларга киритилмаган техник хизмат кўрсатиш ва таъмирлаш хизматлари,0.6,1.2,2.1,7.5,8.9,9.4,10.5,11.0,11.5,12.7,14.6,12.9,0.8,1.2,2.8,3.8,5.6,7.2,7.8,8.7,9.2,10.1,11.7,16.5,0.6,2.4,3.3,5.0,7.4,10.0,11.8,13.2,14.3,15.8,17.5,24.2,0.6,1.6,2.1,2.6,3.6,8.0,9.0,10.8,10.5,16.3,18.2,23.1,0.9,2.3,4.1,5.3,6.7,8.0,11.7,14.7,19.3,22.0,24.3,26.0,4.2,4.7,5.8
9903,Transport,Транспорт,Transport,Транспорт,129.5,212.4,336.5,473.6,629.9,808.0,978.0,1135.2,1285.6,1436.9,1588.9,1744.1,116.5,230.4,352.6,524.4,661.5,813.8,1199.6,1382.1,1697.1,1864.9,2023.1,2204.7,143.7,271.6,481.3,661.7,834.1,1050.5,1260.0,1525.6,1682.2,1910.3,2079.9,2440.4,172.9,351.9,528.8,722.9,924.4,1186.0,1391.7,1640.8,1864.9,2044.0,2360.2,2571.5,182.8,472.2,713.7,924.6,1142.0,1368.1,1591.0,1827.5,2143.2,2395.4,2639.0,3219.1,266.2,531.4,824.9
9904,Safarlar (turizm),Поездки (туризм),Trips (tourism),Сафарлар (туризм),14.7,31.5,59.4,83.9,119.7,164.4,205.4,251.7,296.4,343.1,383.7,422.1,49.0,93.9,176.4,262.6,414.5,566.3,732.6,926.5,1110.4,1306.8,1469.0,1609.8,123.5,253.1,437.2,621.5,817.7,1044.4,1234.7,1400.5,1613.6,1829.9,2002.0,2143.1,181.4,280.4,571.2,856.2,1171.9,1456.7,1746.4,2085.0,2421.8,2792.3,3129.5,3519.0,234.3,465.0,757.1,1182.3,1630.1,2101.5,2542.3,3059.9,3576.3,4117.8,4520.2,4880.3,355.5,662.9,1116.6
9906,Sug'urta va pensiya xizmatlari,Услуги страхования и пенсионного обеспечения,Insurance and pension services,Суғурта ва пенсия хизматлари,0.2,0.5,2.8,3.0,10.3,12.4,14.1,16.1,17.0,19.7,24.9,27.6,1.4,4.9,8.2,14.0,20.0,23.6,25.4,30.4,38.7,45.7,51.1,55.0,0.8,5.3,12.8,20.7,33.3,43.7,54.0,60.2,68.1,74.9,77.9,87.2,4.1,7.6,16.5,22.0,26.3,32.8,41.9,46.8,51.9,56.2,59.2,67.7,1.6,9.5,17.9,26.1,31.0,46.2,51.0,57.9,108.2,119.5,126.8,132.9,10.8,22.9,37.4
9907,Moliyaviy xizmatlar,Финансовые услуги,Financial services,Молиявий хизматлар,1.3,3.5,5.3,6.6,10.1,12.5,14.5,17.8,19.8,22.4,25.0,27.6,1.5,3.3,4.7,7.2,11.7,19.4,28.3,37.3,47.6,57.8,65.7,73.2,3.9,8.5,12.8,16.5,21.4,29.9,36.0,41.7,46.3,51.4,56.4,63.1,3.6,7.1,10.7,15.2,27.5,34.0,40.1,46.8,52.7,57.9,62.5,67.5,5.2,9.4,14.4,21.8,28.5,35.7,45.2,54.7,63.4,74.0,83.5,92.4,5.2,10.4,15.5
9908,Boshqa toifalarga kiritilmagan intellektual mulkdan foydalanish uchun to'lovlar,"Сборы за использование интеллектуальной собственности, не отнесенной к другим категориям",Fees for the use of intellectual property not elsewhere classified,Бошқа тоифаларга киритилмаган интеллектуал мулкдан фойдаланиш учун тўловлар,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,1.2,0.0,0.1,0.3,0.5,16.1,19.3,19.4,22.6,31.2,36.2,0.8,20.3,3.3,5.8,7.6,0.4,11.6,18.3,20.9,23.8,28.1,8.8,9.6,10.5,1.2,1.7,3.1,3.5,4.4,4.4,4.5,4.5,6.1,7.2,7.6,8.6,0.8,1.5,2.3
9909,"Telekommunikatsiya, kompyuter va axborot xizmatlari","Телекоммуникационные, компьютерные и информационные услуги","Telecommunications, computer and information services","Телекоммуникация, компютер ва ахборот хизматлари",10.5,19.9,32.7,45.0,60.9,77.2,93.4,111.1,130.9,146.1,161.2,180.7,13.4,24.5,39.3,55.4,73.2,92.6,111.3,132.1,153.7,224.7,246.6,305.8,17.0,31.9,51.8,89.0,122.6,159.4,189.5,223.3,261.3,334.6,407.8,540.4,25.4,49.6,76.3,163.8,214.2,281.0,323.5,404.6,465.1,485.0,526.2,619.8,40.7,151.7,232.2,234.7,278.6,323.8,412.0,450.2,495.8,628.3,666.8,921.5,80.6,156.2,239.9
9911,Jismoniy shaxslarga xizmatlar va madaniyat va dam olish xizmatlari,Услуги частным лицам и услуги в сфере культуры и отдыха,Services to individuals and services in the field of culture and recreation,Жисмоний шахсларга хизматлар ва маданият ва дам олиш хизматлари,0.0,0.1,0.1,0.1,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.4,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.1,1.2,1.3,0.1,0.2,0.3,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.9,11.2,0.1,0.1,0.2,0.3,0.3,2.3,2.7,3.1,4.0,3.8,4.2,5.4,2.2,2.6,1.7,3.2,3.8,4.2,4.7,6.1,11.6,14.0,15.7,19.4,1.6,2.9,4.4
9999,Boshqa xizmatlar,Другие услуги,other services,Бошқа хизматлар,10.7,20.2,30.6,34.8,42.1,54.8,65.9,95.6,109.5,120.7,133.0,164.7,11.5,24.3,47.8,63.2,78.2,92.5,101.9,115.2,139.7,157.8,168.0,189.1,9.8,19.4,39.4,63.2,83.3,114.4,129.9,140.7,150.5,166.1,180.4,310.7,12.1,24.7,41.8,53.8,76.9,126.4,145.2,178.5,241.0,238.5,264.8,320.0,23.3,62.2,90.9,103.8,122.5,164.5,184.6,232.4,338.1,375.7,394.3,460.2,17.2,56.3,80.0
