Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,104.9,98.5,101.9,109.7,113.9,118.2,125.9,138.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,5.1,3.9,3.5,6.0,6.8,6.5,7.7,5.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,25.2,35.3,35.4,32.5,30.5,31.2,34.9,46.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2.8,3.9,4.9,4.9,8.8,8.5,7.6,7.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1.5,1.5,1.6,2.1,2.1,1.8,2.8,2.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3.1,5.9,4.5,4.0,4.3,5.7,5.4,6.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,9.6,2.7,3.9,3.8,3.8,3.8,4.4,4.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,5.2,13.8,9.5,15.6,15.8,17.1,17.2,18.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,11.5,7.6,6.0,6.8,7.2,7.2,7.2,7.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,7.2,5.6,5.8,5.0,6.2,6.0,6.1,5.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1.4,1.3,2.5,1.6,1.8,1.8,2.4,1.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,10.4,3.7,5.1,5.9,5.3,5.8,6.0,7.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,6.0,5.0,5.9,6.3,6.3,7.2,8.0,8.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,15.9,8.2,13.3,15.1,15.0,15.6,16.2,16.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
