Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1475.2,3127.2,4830.6,6582.6,1548.6,3232.9,5056.3,6989.0,1634.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,33.6,71.8,111.9,152.9,34.2,74.2,119.3,170.4,35.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,173.1,359.8,554.6,751.0,176.4,368.7,567.6,773.2,179.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,67.3,141.0,218.4,297.6,68.8,141.3,222.5,307.9,72.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,21.7,45.3,70.2,95.7,22.1,45.5,73.2,101.3,25.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,77.3,173.9,266.9,364.4,81.2,171.9,274.0,384.3,91.2
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,41.3,85.0,130.7,177.4,42.1,86.2,134.9,185.6,43.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,104.8,221.5,343.1,467.4,106.6,233.6,374.3,524.1,109.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,103.5,229.3,355.3,486.8,111.7,231.8,371.2,516.2,125.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,67.3,146.2,228.3,312.3,69.6,146.1,230.5,318.9,76.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,20.4,43.3,67.1,91.5,21.0,44.7,70.5,98.1,22.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,179.6,386.0,592.0,801.8,192.8,404.4,631.9,868.4,215.3
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,160.3,339.7,531.4,721.7,163.3,340.2,533.2,729.5,165.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,107.5,227.7,351.0,478.3,111.7,235.2,367.7,506.4,115.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,317.5,656.7,1009.7,1383.8,346.9,709.1,1085.5,1504.7,357.1
