Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1272031.0,1270592.0,1259509.0,1197946.0,1117566.0,1060141.0,1039171.0,1010789.0,1018627.0,1015964.0,1025936.0,1050788.0,1067502.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,67720.0,63858.0,64077.0,65306.0,63307.0,62534.0,65560.0,63740.0,61464.0,60087.0,61605.0,62058.0,62493.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,10976.0,11098.0,11017.0,10596.0,10190.0,10452.0,10934.0,9988.0,9259.0,9273.0,9775.0,9888.0,9891.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,6921.0,6644.0,6722.0,6920.0,6530.0,6377.0,6726.0,7181.0,7226.0,6891.0,6920.0,6961.0,6934.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,7296.0,7084.0,6950.0,6500.0,1563.0,6230.0,6606.0,6214.0,6085.0,5726.0,5598.0,5617.0,5713.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,717.0,683.0,667.0,761.0,782.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,2056.0,1646.0,1825.0,1684.0,3134.0,1619.0,1699.0,1722.0,1649.0,1658.0,1758.0,1888.0,1959.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,3458.0,3114.0,3295.0,3475.0,4710.0,2862.0,2893.0,2307.0,1992.0,1930.0,2569.0,2688.0,2383.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,4070.0,4052.0,4416.0,4850.0,1788.0,4649.0,4613.0,4440.0,4541.0,4619.0,4587.0,4487.0,4078.0
