Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,104.6,90.6,93.2,95.6,97.8,102.5,103.9,102.9,115.2,106.6,103.3,100.2,113.6,119.7,118.9,123.4,153.9,145.0,138.7,131.3,107.9,105.5,115.2,110.5,129.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,58.3,51.5,62.8,69.9,101.7,96.4,97.7,105.1,125.6,123.9,119.0,114.9,132.6,112.7,109.8,116.6,161.8,171.4,157.2,146.3,124.6,101.3,116.1,125.0,123.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,125.6,94.0,86.6,110.6,122.3,105.5,112.3,106.0,154.7,149.4,123.5,116.5,102.8,110.0,119.4,121.2,150.0,145.6,140.8,139.4,119.0,98.1,121.4,109.9,101.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,88.5,83.1,120.3,104.7,183.7,162.6,129.1,147.4,187.4,125.1,101.5,94.2,86.2,116.8,127.4,132.2,130.6,153.7,149.2,153.5,81.6,70.7,76.9,80.6,153.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,262.1,161.3,143.6,147.4,70.1,69.9,70.8,72.4,118.7,125.9,114.7,104.6,119.8,117.8,122.7,134.1,135.2,139.3,150.5,144.4,106.5,105.5,102.1,100.8,111.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,82.9,90.0,89.9,76.5,50.0,54.8,66.5,77.8,121.3,99.1,92.2,80.0,94.6,109.1,111.3,117.8,205.5,205.3,164.7,156.2,87.2,102.9,109.3,106.9,76.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,71.6,72.7,81.3,77.1,69.9,77.3,80.6,86.0,111.1,106.7,108.2,109.4,122.3,117.3,116.2,136.3,170.9,129.5,130.9,115.8,79.7,112.0,128.9,121.3,162.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,79.1,84.1,79.6,88.0,90.8,94.5,101.4,100.5,105.2,114.1,107.7,104.2,124.9,116.3,122.0,121.3,314.2,280.8,258.6,261.2,128.2,105.5,122.7,107.6,137.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,171.8,120.9,117.5,128.8,97.2,107.0,115.3,98.7,139.6,125.0,116.2,111.6,135.3,133.1,124.5,127.8,99.3,92.0,99.1,105.5,133.7,125.0,129.4,125.6,126.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,109.4,92.7,85.3,77.4,132.7,137.1,135.0,109.7,104.0,94.2,97.0,87.5,157.8,147.0,141.3,148.3,128.6,110.4,104.3,86.2,101.7,92.6,120.4,131.1,120.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,156.2,93.0,111.5,111.2,138.9,144.2,113.1,107.7,151.7,140.9,138.7,135.1,102.2,105.4,104.1,117.7,93.3,79.5,75.6,67.1,179.0,149.9,158.5,145.2,86.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,107.4,92.4,99.9,92.2,148.6,131.4,134.0,120.3,82.1,86.9,90.1,110.7,131.8,148.6,139.8,121.1,167.7,152.0,155.1,139.2,113.7,112.0,110.2,101.4,92.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,140.6,93.8,102.4,113.5,94.6,98.7,99.1,105.7,122.9,119.4,116.3,112.4,124.4,127.0,120.5,120.1,113.4,109.8,104.2,101.0,134.7,133.9,153.8,145.2,190.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,163.1,85.7,86.8,92.7,93.9,110.6,131.4,139.3,106.4,109.5,102.6,94.2,127.2,108.5,101.7,121.0,148.4,142.7,129.3,120.8,135.7,130.5,155.6,134.9,143.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,112.9,93.6,87.8,108.6,103.5,120.0,115.0,105.0,91.4,86.6,92.7,87.2,102.3,110.3,107.7,115.8,153.4,142.2,127.4,119.1,96.1,102.7,107.3,108.2,149.6
