Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,20.2,21.1,24.8,30.4,32.3,29.9,27.7,27.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.1,0.0,0.1,0.1,0.8,0.1,0.1,0.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,9.5,6.6,6.1,9.3,11.8,10.7,9.4,9.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1.6,2.8,5.5,5.5,5.4,4.9,4.6,3.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.2,0.3,0.3,0.7,0.7,0.6,0.5,0.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,2.1,1.3,1.2,1.5,1.6,1.5,1.4,1.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1.5,3.9,4.3,4.5,3.6,3.7,3.9,3.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1.0,1.9,1.6,2.6,2.8,2.7,2.2,1.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.8,0.8,1.2,1.0,0.9,0.9,0.8,0.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.3,0.4,0.6,0.5,0.5,0.6,0.7,0.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,0.6,1.1,0.8,0.9,0.9,1.1,1.1,1.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1.9,1.3,2.4,3.2,2.8,2.6,2.6,2.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
