Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,39.1,41.4,52.6,56.3,54.6,57.5,60.3,56.6,50.0,46.9,52.5,57.1,56.0,57.9,57.6,56.2,54.4,47.3,42.0,29.3,40.8,38.0,40.6,31.799999999999997,23.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,32.7,43.8,54.5,57.0,46.6,41.0,57.5,83.8,82.2,70.0,57.3,61.3,48.5,55.3,37.6,27.8,35.2,62.8,37.9,34.3,39.1,39.9,38.0,29.2,19.2
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,49.1,43.5,45.2,34.5,59.6,59.2,60.1,61.8,56.9,74.4,77.8,73.4,71.9,71.3,68.2,66.8,67.6,65.6,47.8,38.2,47.6,37.4,36.1,23.8,16.299999999999997
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,45.4,70.9,74.6,71.4,63.1,79.2,80.4,34.0,38.8,16.8,29.7,34.4,35.3,37.5,41.1,51.8,39.5,20.6,35.5,28.9,38.3,31.0,32.6,21.4,13.899999999999999
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,26.8,37.3,35.5,41.4,44.6,68.5,46.1,45.8,40.2,46.4,70.2,71.2,66.8,54.3,58.8,58.4,62.9,55.4,44.3,22.5,20.9,32.2,33.4,17.0,17.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,42.9,43.2,57.6,72.4,73.6,76.8,73.2,63.8,43.9,51.0,63.7,68.6,57.9,57.2,63.2,61.0,53.5,39.1,33.6,22.2,21.6,32.7,38.3,31.7,21.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,37.6,38.1,82.5,62.2,80.9,62.7,84.9,74.1,77.6,75.7,41.9,55.7,53.6,64.2,72.9,60.8,50.0,46.5,37.1,15.7,25.8,28.6,38.8,27.900000000000002,14.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,44.0,45.0,43.0,52.4,50.8,50.5,47.9,49.7,52.4,64.6,72.1,73.0,69.9,63.3,57.7,55.5,50.9,49.9,29.7,29.4,41.9,36.7,38.4,39.900000000000006,13.700000000000001
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,60.5,57.0,60.8,51.7,54.6,50.3,51.7,55.1,58.5,56.9,77.9,75.3,73.0,72.7,70.5,73.1,76.3,68.4,57.5,38.5,53.0,41.0,32.5,36.2,28.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,37.7,56.6,63.7,64.5,75.4,67.5,60.9,62.5,44.2,46.7,56.0,67.5,63.4,57.6,62.1,61.2,58.7,50.0,34.9,15.7,23.7,29.4,33.0,18.7,25.3
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,39.3,43.5,68.0,57.0,37.3,49.0,45.0,46.9,27.3,46.4,55.9,57.5,48.0,42.3,44.3,41.2,41.2,38.7,34.9,20.4,29.9,19.6,10.8,13.0,17.599999999999998
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,36.5,44.8,50.9,64.8,58.2,63.8,60.4,64.8,58.8,51.0,52.8,48.2,62.2,57.5,51.2,53.6,58.6,51.4,51.0,38.6,51.6,45.4,46.5,30.9,21.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,40.4,31.7,38.5,48.8,61.3,62.4,58.2,57.0,47.9,50.1,61.6,56.8,49.3,55.3,62.9,63.8,61.8,67.9,46.1,34.7,43.3,41.7,38.0,30.7,27.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,46.5,46.6,39.0,52.2,67.5,52.4,41.7,50.2,43.7,52.2,63.4,55.5,63.3,58.4,63.1,67.5,70.5,64.5,49.1,32.8,41.2,45.8,48.3,42.4,31.299999999999997
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,30.2,29.8,47.0,41.5,34.8,37.5,41.3,42.4,39.2,48.0,41.4,48.7,51.6,62.9,65.4,64.4,56.1,52.8,49.7,36.6,54.0,44.7,55.1,46.6,39.3
