Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1000,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,113.0,131.1,139.6,128.2,107.1,113.0,117.0,114.7,113.7,110.1
B,Tog`-kon sаnoаti vа ochiq konlаrni ishlаsh,Горнодобывающая промышленность и разработка карьеров,Mining and quarrying,Тоғ-кон саноати ва очиқ конларни ишлаш,103.5,119.4,211.5,140.5,97.9,107.5,134.3,108.5,113.8,97.3
C,Ishlab chiqarish sanoati,Обрабатывающая промышленность,Manufacturing industry,Ишлаб чиқариш саноати,114.1,135.1,129.0,124.8,108.7,114.9,116.5,109.0,113.9,110.5
D,"Elektr, gаz, bug` bilаn tа'minlаsh vа hаvoni konditsiyalаsh","Электроснабжение, подача газа, пара и кондиционирование воздуха","Electricity, gas, steam and air conditioning","Электр, газ, буғ билан таъминлаш ва ҳавони кондициялаш",114.7,105.1,166.5,131.0,102.9,97.6,104.0,179.3,111.5,118.7
E,"Suv bilаn tа'minlаsh; kаnаlizаtsiya tizimi, chiqindilаrni yig`ish vа utilizаtsiya qilish","Водоснабжение; канализация, сбор и утилизация отходов","Water supply; sewerage, waste collection and disposal","Сув билан таъминлаш; канализация тизими, чиқиндиларни йиғиш ва утилизация қилиш",103.4,191.7,130.5,106.9,124.9,148.8,101.0,162.3,134.6,125.1
10,Oziq-ovqat mahsulotlari ishlab chiqarish,Производство пищевых продуктов,Manufacturing of food products,Озиқ-овқат маҳсулотлари ишлаб чиқариш,114.1,107.0,127.6,119.6,106.1,106.4,140.4,111.4,106.2,100.7
11,Ichimliklar ishlab chiqarish,Производство напитков,Manufacture of beverages,Ичимликлар ишлаб чиқариш,126.1,118.4,117.8,118.1,107.9,121.7,116.4,96.2,122.1,103.6
13,To'qimachilik mahsulotlari ishlab chiqarish,Производство текстильных изделий,Manufacture of textiles,Тўқимачилик маҳсулотлари ишлаб чиқариш,113.3,147.7,137.1,108.7,104.5,128.5,119.4,106.1,107.4,100.3
19,Koks va neftni qayta ishlash mahsulotlari ishlab  chiqarish,Производство химической продукции,Manufacture of chemical products,Кокс ва нефтни қайта ишлаш маҳсулотлари ишлаб  чиқариш,113.7,129.5,229.0,137.9,111.7,151.6,94.1,105.0,110.6,106.2
20,Kimyo mahsulotlari ishlab chiqarish,Производство кокса и продуктов нефтепереработки,Manufacture of coke and refined petroleum products,Кимё маҳсулотлари ишлаб чиқариш,110.0,125.2,147.4,138.1,97.4,133.2,124.0,107.5,99.0,119.5
23,Boshqa nometall mineral mahsulotlar ishlab chiqarish,Производство прочей неметаллической минеральной продукции,Manufacture of other non-metallic mineral products,Бошқа нометалл минерал маҳсулотлар ишлаб чиқариш,124.7,117.8,127.4,112.3,105.9,109.3,109.8,106.7,108.1,105.4
24,Metallurgiya sanoati,Металлургическая промышленность,Metallurgical industry,Металлургия саноати,118.2,220.7,102.6,208.7,128.8,108.4,99.1,103.3,130.1,134.2
25,Mashina va uskunalardan tashqari tayyor metall buyumlar ishlab chiqarish,"Производство готовых металлических изделий, кроме машин и оборудования","Manufacture of fabricated metal products, except machinery and equipment",Машина ва ускуналардан ташқари тайёр металл буюмлар ишлаб чиқариш,118.4,127.5,136.8,114.8,106.9,119.0,109.4,109.7,110.3,108.4
27,Elektr uskunalar ishlab chiqarish,Производство электрического оборудования,Manufacture of electrical equipment,Электр ускуналар ишлаб чиқариш,123.1,131.6,102.2,102.2,104.6,129.1,109.5,113.4,109.2,100.8
29,"Avtotransport vositalari, treylerlar va yarim pritseplar ishlab chiqarish","Производство автотранспортных средств, трейлеров и полуприцепов","Manufacture of motor vehicles, trailers and semi-trailers","Автотранспорт воситалари, трейлерлар ва ярим прицеплар ишлаб чиқариш",107.3,179.8,112.0,98.3,107.6,103.0,115.6,128.2,103.8,96.4
7,Metall rudalarni qazib olish,Добыча металлических руд,Mining of metal ores,Металл рудаларни қазиб олиш,96.4,101.0,100.0,0.0,93.7,161.7,160.4,106.8,110.9,106.1
