Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,9.6,6.1,7.8,12.4,12.2,12.1,12.1,15.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1.3,0.4,1.5,1.6,1.7,1.7,1.6,1.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.047,0.0,0.0,0.0,0.0,0.1,0.1,0.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.8,0.3,0.3,0.1,0.1,0.1,0.1,0.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1.5,0.8,0.9,0.6,0.6,0.7,0.9,1.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,2.8,2.6,2.4,7.4,7.0,6.7,5.5,7.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.9,0.1,0.4,0.2,0.2,0.2,0.2,0.3
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.007,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,1.4,1.0,1.5,1.7,1.8,1.7,1.6,1.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,0.8,0.7,0.7,0.8,0.7,0.8,1.9,1.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
