Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,20107.0,20188.0,20605.0,20798.0,21617.0,21514.0,22046.0,21720.0,21745.0,20622.0,20223.0,19344.0,19178.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,4999.0,5109.0,5049.0,5025.0,5026.0,5123.0,5313.0,5459.0,5644.0,5798.0,5573.0,5315.0,4963.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,18030.0,18714.0,19099.0,19195.0,19647.0,20445.0,20447.0,20673.0,21015.0,20518.0,19198.0,18613.0,17673.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,25643.0,25826.0,26407.0,27399.0,27758.0,29406.0,30654.0,30676.0,30719.0,29949.0,28865.0,27567.0,26724.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,13980.0,14600.0,14979.0,15282.0,15689.0,15964.0,16327.0,16601.0,16939.0,16428.0,16361.0,15825.0,15134.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,24030.0,24408.0,24408.0,24902.0,25426.0,26120.0,26944.0,27580.0,27947.0,28054.0,26834.0,26118.0,25482.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,17580.0,17819.0,17964.0,18105.0,17680.0,17388.0,17306.0,17421.0,17125.0,16692.0,16316.0,16145.0,15623.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,8995.0,9347.0,9704.0,10045.0,10171.0,9830.0,9855.0,9937.0,9902.0,9623.0,9816.0,9601.0,9391.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,168709.0,173172.0,175242.0,177600.0,180156.0,181469.0,180842.0,181232.0,177950.0,171638.0,165134.0,158498.0,150484.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,25227.0,25938.0,26522.0,25637.0,25625.0,24499.0,23632.0,22856.0,22579.0,21591.0,21715.0,21056.0,20590.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,5004.0,5087.0,5052.0,4995.0,4908.0,4766.0,4499.0,4403.0,4263.0,4184.0,4324.0,4518.0,4548.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,8686.0,8761.0,8823.0,8946.0,9102.0,9337.0,9191.0,9166.0,8879.0,8609.0,8073.0,7859.0,7712.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,14747.0,15542.0,15767.0,16535.0,16598.0,16613.0,16686.0,16937.0,16248.0,15872.0,15029.0,14223.0,13257.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,11176.0,11489.0,11866.0,12513.0,12910.0,13344.0,13556.0,13723.0,13496.0,13111.0,12418.0,12315.0,11656.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,27914.0,28618.0,28266.0,28683.0,29314.0,29834.0,29644.0,29491.0,29362.0,28259.0,27017.0,25330.0,23855.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,5875.0,6130.0,6178.0,6616.0,6905.0,7149.0,6993.0,7332.0,7367.0,7057.0,6850.0,6711.0,6284.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,14426.0,14726.0,15166.0,15273.0,15211.0,15392.0,15302.0,15471.0,14874.0,14286.0,13737.0,13365.0,12763.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,1726.0,1843.0,1828.0,1833.0,1829.0,1823.0,1845.0,1906.0,1770.0,1776.0,1603.0,1400.0,1345.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,10777.0,10946.0,11170.0,11375.0,12049.0,12918.0,13813.0,14005.0,13781.0,12549.0,11403.0,10111.0,9256.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,12405.0,12821.0,12855.0,13181.0,13466.0,13750.0,13719.0,14004.0,14190.0,13930.0,13213.0,12548.0,11680.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,15808.0,15746.0,15837.0,15484.0,15336.0,15104.0,14912.0,14779.0,14530.0,14377.0,14344.0,14156.0,13483.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,14938.0,15525.0,15912.0,16529.0,16903.0,16940.0,17050.0,17159.0,16611.0,16037.0,15408.0,14906.0,14055.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,119795.0,123425.0,126286.0,132039.0,135116.0,138023.0,139878.0,140587.0,140175.0,137392.0,132751.0,127460.0,122882.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,16112.0,16209.0,16209.0,16742.0,17206.0,17985.0,18399.0,18878.0,18887.0,18773.0,17992.0,17327.0,16807.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,4279.0,4467.0,4406.0,4521.0,4902.0,4970.0,5005.0,4973.0,4960.0,4766.0,4607.0,4420.0,4198.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,12860.0,13249.0,13977.0,14532.0,15074.0,15483.0,15857.0,15636.0,15578.0,15147.0,15029.0,14395.0,14061.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,15283.0,15855.0,16093.0,16729.0,16896.0,16599.0,16538.0,16089.0,15647.0,15392.0,14837.0,14308.0,14371.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,17492.0,17946.0,18338.0,19809.0,20681.0,21837.0,22509.0,23909.0,24280.0,23741.0,22884.0,22251.0,20893.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,5667.0,5757.0,5764.0,6123.0,6257.0,6348.0,6594.0,6859.0,6985.0,6798.0,6368.0,6170.0,5786.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,15235.0,15642.0,15948.0,16498.0,17008.0,16130.0,16553.0,16385.0,16554.0,16307.0,15307.0,14570.0,14121.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,6391.0,6707.0,6737.0,6939.0,6981.0,8655.0,8859.0,8998.0,8748.0,8436.0,8136.0,7730.0,7312.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,3821.0,4156.0,4465.0,4589.0,4604.0,4613.0,4735.0,4631.0,4702.0,4710.0,4738.0,4637.0,4621.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,4942.0,5134.0,5152.0,5339.0,5125.0,5050.0,5038.0,4806.0,4775.0,4837.0,4712.0,4361.0,4097.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,7098.0,7321.0,7656.0,8202.0,8243.0,7990.0,7858.0,7862.0,7594.0,7146.0,7157.0,6840.0,6492.0
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,8238.0,8520.0,9042.0,9334.0,9361.0,9631.0,9414.0,9029.0,8893.0,8748.0,8494.0,8033.0,7711.0
