Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,2612737.6,2709603.8,2855285.4,2946902.8,3082836.3,2981940.0,3056925.5,3167009.2,2971575.1,3579416.1,3496248.1,4027750.9,3152255.1,3268166.7,3322103.8,3675083.3,3806325.0,3763155.3,3971144.0,4076900.9,4060550.9,4365546.4,4188760.5,4492104.0,3806024.5,3922950.4,3981346.1,4362838.5,4432367.1,4397010.8,4955082.6,4886718.2,4609252.6,4960858.2,5065058.6,5207092.2,4658545.7,4759613.0,4962519.5,5144755.9,6065790.6,5572628.9,5076037.9,5219008.1,5067681.4,5296062.7,5238607.4,5759652.5,4968129.7,4843170.0,5384235.5,5538652.5,5629869.1,5610659.0,5792036.2,6427362.3,5927361.1,6418045.1,6262765.3,6893808.2,5790495.6,5944079.8,6496831.7,5830472.5,5952854.7,5792270.7,6274267.4,6484664.7,6474088.7,7088808.0,7016644.3,7437906.5,6195703.6,6378973.6,6879944.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2209178.9,2087767.4,2260728.5,2334069.4,1999881.8,2266763.9,2382124.9,2482561.4,2454461.0,2005766.5,2361878.3,2640143.7,2457733.5,2336804.5,2695196.2,2693725.2,2836621.6,2476192.1,2715484.9,3042813.5,2688274.5,3313103.6,3136626.2,3382472.6,2743363.3,2169532.0,2297537.0,2129691.1,2326218.3,2720540.1,2682152.4,3647505.4,2835067.5,3136176.7,3191295.9,3653144.2,3001476.0,3381656.1,3514555.8,3718096.5,3924402.8,3897353.3,3709764.1,3936551.0,3876985.0,3288396.2,3313112.0,4126851.3,3159018.0,3129235.0,3563148.5,3677921.5,3942594.0,4069412.1,3419839.6,4130843.3,3867196.3,3674175.0,3498479.7,4545462.5,3339892.1,3441600.6,4499605.0,4190941.3,4919138.3,4628480.7,3884952.6,4182587.6,4271478.3,4365310.5,4219336.1,5121968.6,3538797.0,3469011.6,5326792.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,3657384.1,3653191.9,3256291.0,3383155.2,3705089.2,2459290.9,2275187.3,2459418.9,2299605.6,1874145.4,1760817.7,2373119.4,1921967.8,1873960.3,2189252.2,1918464.5,2041161.4,2198730.0,2340421.4,2313690.7,2285890.2,2320437.8,2350143.0,3029784.4,1677022.4,1628599.2,1964646.7,2233947.8,2077627.3,2245282.7,2538082.5,2450983.7,2653119.2,2537643.2,2356446.5,2451461.1,2838845.3,2981748.0,2864539.0,2630907.1,2936921.3,3002760.4,3335087.9,3712659.4,3878014.5,3420286.6,3610347.6,4012441.6,3555900.9,3474838.7,4519753.8,4110437.7,4183380.1,4332810.0,4282974.1,4136002.6,4243961.3,4129399.5,3913176.9,4179733.4,3562314.5,3631200.2,3734318.9,3334134.7,3335280.5,3181648.4,3218502.1,3356504.3,3321600.5,4008972.7,3990097.7,4199941.2,3352016.8,4030218.8,4094875.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1844738.1,1918689.2,2573433.6,2796614.0,2649605.2,2635288.1,2452333.2,2675781.5,2779802.6,2636950.8,2762213.9,3831753.8,2478298.4,2783365.5,3017323.9,2759096.4,3057219.9,2985299.9,2988811.2,3220500.1,3189438.8,3573536.6,3141788.1,3548965.9,2634312.6,2774504.6,2890735.9,3348675.1,3564802.2,3085413.5,3428880.7,3547909.6,3294388.1,3514366.8,3464531.0,4043190.7,3596655.2,3675647.9,4080610.9,4648632.8,4299422.4,4554273.6,4224307.4,4512245.9,4092617.2,4276842.8,4261873.0,5058641.9,4393456.5,4020129.0,4583266.1,4709107.1,4580853.9,4712489.2,4277981.1,4563733.0,4553317.1,4676279.7,4392913.5,5741521.0,4518424.1,4000191.0,5767252.4,3973541.2,3944410.7,4263126.0,3963267.4,4577060.9,4177551.1,5295726.9,5014898.5,6104122.6,4742651.6,4405737.5,5338083.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1655506.0,1839680.9,1755397.1,1233083.8,1802086.7,1498763.7,1716971.1,1621458.1,1486005.0,1488935.5,1377568.7,2006446.7,2047818.7,1820326.4,2449477.1,2424591.3,2724289.5,2449154.3,2664555.0,3119417.5,3112347.2,2699425.5,2924697.4,2722361.3,1714080.0,1863144.5,1778076.9,2120147.3,1999249.5,1903621.3,2138902.4,2288301.3,2359721.1,2443494.9,4180060.2,3387928.4,3200967.1,3609953.2,3497225.8,4177876.9,4356916.3,4342339.8,3488020.8,3662012.1,3600476.2,3694131.5,3518968.6,4354785.4,3948212.1,3856020.7,4157384.8,4845088.9,4797179.5,4588210.1,4687438.4,5057890.2,4963897.8,5316923.9,4865879.0,6180266.2,4678779.0,4564178.4,5284194.3,5263809.2,5434519.4,5464411.0,5109329.5,5050813.0,4978606.1,5574217.5,5597958.3,6374978.4,4706773.3,3930935.1,5625926.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1658236.8,1817976.6,1965874.5,2003880.2,2221918.8,2175499.0,2293867.7,2107600.4,2165441.2,2354734.6,2215916.6,2571354.9,2244934.4,2360288.6,2537768.3,2820080.9,2729495.5,2867743.9,2770336.0,2952798.7,2761914.4,4426421.6,4019629.1,4092761.9,2830496.5,3348187.3,3274970.9,4191159.9,4209858.4,4390247.8,4921426.0,5175728.1,4119204.0,4961261.1,4806938.2,5531602.5,4769822.4,4586873.5,5346742.9,4477940.2,4831241.5,4896820.4,4157655.5,4656206.8,4541736.6,4292570.4,4470069.0,5323179.1,4184536.7,3728731.8,4627450.6,4475836.3,4261825.6,4184999.5,3853535.8,4192463.3,4044373.8,4332280.9,4251203.1,4950957.4,4018159.0,4218699.9,5184867.6,4257075.7,4206505.6,4124290.6,4637182.6,4568409.7,5091388.4,4894280.6,4993638.8,5863291.1,4021207.2,4327056.4,5662870.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3396283.2,3627697.3,3825030.8,3602304.5,3512748.9,3948749.5,3816791.7,3921757.1,3758544.6,4558806.4,4523213.4,4418383.2,4283157.2,4354220.1,4423081.8,4425816.0,4390449.4,4910180.5,4481444.8,4611116.7,4500026.8,5199421.0,5408251.8,6300180.4,4814644.5,4839905.9,4915633.2,4481170.4,4484131.8,4586471.2,4780859.9,5104549.8,5076558.1,5081421.4,5960579.4,5768756.7,5761939.5,5962824.0,5928191.4,6724712.8,7317827.0,7248052.2,6417489.0,6414472.0,6193926.9,6174868.6,6720113.9,7124749.1,7153126.3,7118149.8,7268424.3,7109251.2,7371177.6,7199800.2,7290544.7,7093494.0,7087673.9,7360295.3,7506173.9,8489228.3,7492156.5,7429407.4,7645540.7,8174883.0,8423358.4,8273947.4,8647836.0,8601607.7,8479912.4,8586305.8,8300937.4,8515390.8,8289139.3,8498683.5,8934978.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,3385488.9,3566047.1,4132068.3,2394551.0,2464631.9,1989598.3,2444781.6,2746248.2,2309460.1,2661750.9,2216467.3,2388063.5,2842164.5,2488837.3,2852182.0,3247593.1,3262922.9,3185310.0,2975111.6,3527854.1,3536714.4,3815780.9,3102640.1,4090407.5,3561357.8,3187698.3,3706276.7,2814340.6,3264155.0,3051368.9,3355894.4,3144054.8,3160485.4,3084435.5,3213150.7,3295499.9,3429410.8,3415961.7,3843277.7,3157870.1,3425176.7,3353423.6,3187006.2,3518037.7,3608715.1,4019551.7,3928135.1,4450734.2,4363431.2,3785567.2,4866271.4,4687573.1,4562170.7,4683370.6,4363549.8,4217903.3,4875277.8,4619611.0,4236507.7,4899192.3,4172828.4,4033220.3,4661582.9,3926823.2,3882820.7,3973493.8,3463613.2,3456225.3,3874368.9,5273862.9,4951076.4,5262659.0,3958420.8,3847667.8,3764357.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1825158.7,2191958.7,2325791.4,2573693.5,2620783.0,2593469.0,3928691.3,3922280.7,2424610.0,2185466.1,2182109.4,2502550.1,2497571.1,2679553.4,2870612.3,2627131.9,2914272.7,2946073.7,3141291.9,3203023.3,3190673.7,3245715.2,2628229.3,2503004.0,2635887.0,2880761.9,2881511.9,3186133.0,3272649.5,3364344.4,3470380.7,3465775.8,3380217.8,3739044.6,3502022.0,4113889.7,3784384.6,4101621.1,4128335.4,3526308.0,3714894.6,3770531.7,3659181.3,3654446.5,3667248.1,3919207.1,3977470.3,4150538.5,3726848.0,3800240.9,3912344.8,4067262.1,4031088.8,4101369.1,4464896.6,4548505.6,4525642.4,4808713.9,4540370.5,5074901.6,4416611.9,4347319.2,4695675.2,3753599.2,3985529.2,3967838.2,4518041.4,4791667.8,4619391.5,4447949.4,4436684.2,4793162.5,4569213.6,4780960.2,5193378.1
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2646571.2,2545167.4,2593223.7,2819395.6,2700763.9,2634104.5,2657809.9,2716862.3,2846085.3,3105397.4,2961146.4,3166264.1,2664612.9,2763580.7,2897680.8,3137640.6,3218197.1,3140463.4,3545849.5,3063881.4,3155647.3,3055536.8,3320258.2,3724575.0,3218511.4,3135097.4,3226805.4,4072132.0,3538538.1,3588922.2,4090911.9,3682343.9,3864975.8,4376793.2,4530007.9,4727183.9,3652275.3,4032509.3,4027062.4,3622304.2,3852559.3,3952394.5,3941922.4,4034009.3,4008354.4,3715609.4,3700117.4,4136158.9,3281961.9,3371422.2,3531706.8,3645615.2,3677204.9,3581705.8,4079328.4,3921025.4,3864012.5,4809193.1,4922651.0,5480118.8,4159582.0,4112217.3,4218173.6,4074901.9,4169972.8,4090923.5,4132293.9,3961434.4,3705221.3,3784589.0,3887671.4,4300837.0,3496369.2,3393570.5,3738290.1
