Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.73,100.54,100.9,100.62,101.45,99.66,99.8,100.48,100.57,100.55,100.64,100.88,100.7,100.9,100.6,100.7
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.88,100.69,101.62,100.75,99.14,98.9,98.83,100.64,100.9,100.86,100.98,101.53,100.8,101.0,101.2,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,99.4,94.03,98.1,99.05,100.59,100.59,99.79,99.51,100.24,96.98,97.4,97.52,99.3,98.9,99.1,99.1
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.58,91.29,97.32,100.33,100.0,100.57,100.12,100.95,100.42,100.52,100.82,100.43,100.4,100.2,100.6,101.2
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.54,102.78,109.29,101.62,100.38,100.77,102.22,100.25,101.98,101.9,100.39,100.67,101.0,101.7,101.7,103.0
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,100.82,102.19,109.47,102.22,100.78,100.64,102.59,102.1,101.88,101.61,101.29,100.9,101.7,102.6,100.9,103.1
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),100.34,100.85,99.14,99.47,99.13,103.9,100.7,101.45,100.73,98.49,99.12,101.12,101.4,100.8,98.8,98.4
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),101.06,100.0,100.46,98.64,100.0,100.0,100.0,101.06,101.06,101.64,101.22,100.0,100.8,100.5,100.7,100.8
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,82.19,89.37,100.08,97.49,94.91,106.8,95.76,102.66,106.72,104.57,102.68,103.36,100.5,100.3,102.0,95.4
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,101.7,99.87,100.89,102.9,104.74,101.32,101.04,102.0,100.96,100.74,100.53,100.16,100.5,100.1,100.8,100.4
