Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.78,100.51,101.15,100.7,101.35,100.37,99.66,100.38,100.55,100.54,100.61,100.76,100.6,100.5,100.7,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.82,100.49,101.59,100.76,99.26,98.57,98.92,100.66,100.88,100.91,101.06,101.44,100.8,100.9,101.2,100.9
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,99.45,94.01,97.45,99.4,99.96,99.52,100.32,100.17,98.61,97.29,96.0,98.09,99.3,99.4,100.1,99.4
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.05,93.09,97.7,100.53,100.0,100.55,100.27,100.07,100.35,100.74,100.74,100.0,100.2,100.3,100.5,101.0
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.5,102.49,108.33,101.98,101.0,100.65,102.45,100.51,102.41,101.59,100.18,100.39,100.9,101.0,101.7,102.9
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,101.07,102.58,108.44,102.03,100.97,100.99,102.02,102.05,102.0,101.93,100.9,100.4,101.6,101.7,100.9,103.0
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),99.89,100.0,100.6,101.12,99.44,100.21,100.47,101.59,100.83,99.41,99.25,100.29,101.7,101.8,100.2,99.7
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),100.0,101.5,101.04,99.94,99.34,100.0,99.4,101.96,101.02,100.93,100.65,100.58,101.0,100.0,100.0,100.3
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,83.38,87.71,100.1,98.26,95.67,104.91,97.58,102.36,106.77,104.73,102.66,103.45,100.5,100.5,102.2,95.4
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,103.86,99.25,100.41,101.55,105.77,100.96,101.01,102.27,100.23,101.04,100.57,100.38,100.5,100.2,100.6,100.1
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,103.81,100.06,100.0,102.61,103.54,100.37,100.83,100.62,100.57,100.4,100.17,99.35,100.5,100.3,101.1,100.6
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,102.89,101.31,100.44,101.39,101.45,100.12,98.85,99.51,98.37,99.03,104.63,102.17,101.5,104.2,107.9,105.1
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,98.96,129.58,104.61,99.21,72.44,53.25,52.88,82.96,116.94,161.95,184.09,123.63,98.2,110.5,110.5,98.8
01.107,Sabzi,Морковь,Carrot,Сабзи,103.57,102.51,115.54,106.84,114.32,113.73,97.68,96.98,107.25,92.84,73.13,92.73,101.5,101.3,99.5,104.2
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.84,100.69,101.59,112.64,98.03,98.76,97.63,97.86,95.33,95.88,99.32,100.62,101.5,99.8,98.0,97.2
01.113,Kartoshka,Картофель,Potato,Картошка,121.19,87.33,98.52,104.59,94.65,98.94,95.33,104.67,99.05,98.91,101.14,100.97,101.8,104.8,112.4,105.8
01.123,Shakar,Сахар-песок,Sugar,Шакар,98.61,99.99,99.81,100.8,102.06,101.9,99.8,99.59,100.56,97.79,98.09,96.51,100.9,103.1,103.2,102.2
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.42,100.3,100.15,100.44,101.06,100.18,100.18,100.23,100.35,100.41,100.43,100.19,100.4,100.3,100.3,100.3
02.115,Sement,Цемент,Cement,Цемент,98.95,99.6,98.53,101.49,104.25,100.99,101.34,101.32,103.77,100.88,100.79,100.13,100.4,99.8,100.0,100.9
02.172,Xoʻjalik sovuni,Мыло хозяйственное,Household soap,Хўжалик совуни,100.04,99.98,100.03,100.0,100.0,100.11,100.44,100.15,100.0,100.6,100.0,100.0,100.5,100.0,100.0,100.0
02.173,"Kir yuvish kukuni yoki aralashmasi, oqartiruvchi modda va kir yuvish uchun boshqa vositalar","Стиральный порошок или смесь, отбеливатели и прочие средства для стирки","Washing powders or mixtures, bleaches, and other washing agents","Кир ювиш кукуни ёки аралашмаси, оқартирувчи модда ва кир ювиш учун бошқа воситалар",101.71,99.96,101.78,100.26,99.58,100.3,100.35,100.14,99.97,100.35,100.29,99.91,101.3,100.0,100.7,100.4
02.180,Vitaminlar,Витамины,Vitamins,Витаминлар,100.54,100.24,99.08,100.2,102.14,101.0,100.0,100.95,99.66,100.4,99.94,99.89,100.2,99.8,100.9,100.1
02.181,Antibiotiklar,Антибиотики,Antibiotics,Антибиотиклар,100.0,100.49,100.85,101.31,100.0,100.0,100.0,99.96,100.46,100.43,100.46,99.93,99.9,100.3,101.0,100.3
02.183,Tomir kengaytiruvchi preparatlar,Сосудорасширяющие препараты,Vasodilating drugs,Томир кенгайтирувчи препаратлар,100.0,100.0,99.0,102.43,100.0,100.7,100.0,100.0,101.17,100.28,99.49,100.64,100.0,100.0,100.7,100.0
02.184,Shamollashga qarshi dori vositalari,Противовоспалительные лекарственные средства,Anti-inflammatory drugs,Шамоллашга қарши дори воситалари,100.0,100.0,100.0,101.32,100.0,100.0,100.0,100.0,99.91,101.74,100.19,100.12,100.5,99.6,101.4,100.5
02.196,Benzin,Бензин,Gasoline,Бензин,100.63,100.07,100.31,99.59,99.92,100.04,100.38,102.53,100.72,101.4,101.53,102.9,101.0,100.1,99.6,101.2
02.197,Shaxsiy transport vositalari uchun propan,Пропан для личных транспортных средств,Propane for personal vehicles,Шахсий транспорт воситалари учун пропан,88.48,100.48,93.4,90.63,105.39,96.81,102.74,100.6,98.76,102.56,105.85,102.24,106.0,102.7,97.2,98.1
