Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024,2025
6,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,118.0,114.1,114.3,110.6,107.7,129.0,112.5
01.0,TIRIK HAYVONLAR; HAYVONLARDAN OLINGAN MAHSULOTLAR,ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ,LIVE ANIMALS; ANIMAL PRODUCTS,ТИРИК ҲАЙВОНЛАР; ҲАЙВОНЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,113.5,104.2,126.6,102.2,114.1,108.8,106.3
01.1,TIRIK HAYVONLAR,ЖИВЫЕ ЖИВОТНЫЕ,LIVE ANIMALS,ТИРИК ҲАЙВОНЛАР,92.3,104.1,156.3,96.3,126.2,106.2,109.8
01.2,GO'SHT VA GO'SHT MAHSULOTLARI,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ.,MEAT AND  MEAT PREPARATIONS,ГЎШТ ВА ГЎШТ МАҲСУЛОТЛАРИ,100.0,102.7,109.6,101.2,105.7,100.0,104.7
01.3,"BALIQ VA QISQICHBAQASIMONLAR, MOLLYUSKALAR VA BOSHQA SUV UMURTQASIZLARI","РЫБА И РАКООБРАЗНЫЕ, МОЛЛЮСКИ И ПРОЧИЕ ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ","FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES, AND PREPARATIONS THEREOF","БАЛИҚ ВА ҚИСҚИЧБАҚАСИМОНЛАР, МОЛЛЮСКАЛАР ВА БОШҚА СУВ УМУРТҚАСИЗЛАРИ",100.0,107.1,117.9,101.2,96.0,121.8,118.0
01.4,SUT MAHSULOTLARI; PARRANDA TUXUMLARI; TABIIY ASAL; BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"МОЛОЧНАЯ ПРОДУКЦИЯ; ЯЙЦА ПТИЦ; МЕД НАТУРАЛЬНЫЙ; ПИЩЕВЫЕ ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","DAIRY PRODUCTS AND BIRDS’ EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",СУТ МАҲСУЛОТЛАРИ; ПАРРАНДА ТУХУМЛАРИ; ТАБИИЙ АСАЛ; БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,118.9,107.3,142.6,92.5,121.0,127.1,104.1
01.5,BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,112.9,100.0,104.2,111.2,106.4,98.3,111.0
02.,О‘SIMLIKLARDAN OLINGAN MAHSULOTLAR,РАЗДЕЛ II. ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ,PLANT PRODUCTS,ЎСИМЛИКЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,116.3,99.5,105.1,115.1,112.9,119.3,106.6
02.1,"DARAXTLAR VA BOSHQA O'SIMLIKLAR, ILDIZPOYALAR, ILDIZLAR VA O'SIMLIKLARNING BOSHQA O'XSHASH QISMLARI; KESILGAN GULLAR VA DEKORATIV KO'KATLAR","ЖИВЫЕ ДЕРЕВЬЯ И ДРУГИЕ РАСТЕНИЯ; ЛУКОВИЦЫ, КОРНИ И ПРОЧИЕ АНАЛОГИЧНЫЕ ЧАСТИ РАСТЕНИЙ; СРЕЗАННЫЕ ЦВЕТЫ И ДЕКОРАТИВНАЯ ЗЕЛЕНЬ","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","ДАРАХТЛАР ВА БОШҚА ЎСИМЛИКЛАР, ИЛДИЗПОЯЛАР, ИЛДИЗЛАР ВА ЎСИМЛИКЛАРНИНГ БОШҚА ЎХШАШ ҚИСМЛАРИ; КEСИЛГАН ГУЛЛАР ВА ДEКОРАТИВ КЎКАТЛАР",113.4,114.3,103.5,115.1,103.0,114.2,124.8
02.2,ISTE'MOLGA YAROQLI BA'ZI SABZAVOT ILDIZMEVALARI VA QULUPNAYDOSHLAR,ОВОЩИ И НЕКОТОРЫЕ СЪЕДОБНЫЕ КОРНЕПЛОДЫ И КЛУБНЕПЛОДЫ,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,ИСТEЪМОЛГА ЯРОҚЛИ БАЪЗИ САБЗАВОТ ИЛДИЗМEВАЛАРИ ВА ҚУЛУПНАЙДОШЛАР,112.1,86.3,117.8,104.3,117.4,121.6,105.7
