year,industry_va_const2015_usd,mfg_va_const2015_usd,services_va_const2015_usd,agri_va_const2015_usd,gdp_pc_const2015_usd,td_losses_pct_wb,urban_pop_pct_wb,source
1990,8599579556.04665,,10744417095.1277,9506939522.43183,1569.01079980159,9.38837106080781,40.7715937023416,World Bank WDI (live wbdata fetch)
1991,8947505408.53719,,10081519270.6225,9717717495.3118,1524.20427668953,9.36398043016708,41.0845226123885,World Bank WDI (live wbdata fetch)
1992,7252916927.78791,,9536397777.80725,9089038682.44152,1320.59769274614,9.36929150871128,41.5298766018746,World Bank WDI (live wbdata fetch)
1993,6796164105.54122,,9342671231.89731,9225374260.91092,1260.7164965865,9.07037783067814,42.0894314135234,World Bank WDI (live wbdata fetch)
1994,6048022788.53381,,9050857564.94451,8911711535.32608,1169.86899033178,9.07112970711297,42.7449627900584,World Bank WDI (live wbdata fetch)
1995,5736452868.87809,,9004770784.40886,9089945766.78312,1136.35843596848,8.73074410469306,43.4782464742032,World Bank WDI (live wbdata fetch)
1996,5819587178.45287,,9435948876.51181,8571818858.70832,1134.17871135102,8.9411920121535,44.2710582086815,World Bank WDI (live wbdata fetch)
1997,5974277914.19114,,9937762384.73545,9068984352.05087,1172.71784381569,8.70282711599427,45.1051737362168,World Bank WDI (live wbdata fetch)
1998,6112616140.97632,,10483645571.609,9440812711.14647,1204.09081234616,9.03885925764668,45.9623687995325,World Bank WDI (live wbdata fetch)
1999,6241177021.93848,,10992578222.2906,9960057410.59551,1238.36591553108,9.24158603513257,46.8244191413524,World Bank WDI (live wbdata fetch)
2000,6352141203.26481,,11588569839.8108,10274695622.9425,1269.72137546219,9.2505654901626,47.6731005044,World Bank WDI (live wbdata fetch)
2001,6536077694.41588,,12181182758.7394,10699856984.5382,1306.60633175114,15.3443566379616,48.4901886313987,World Bank WDI (live wbdata fetch)
2002,6758304736.23826,,12582477087.7504,11341605186.4381,1341.95995981671,16.4159766787457,49.2574592650723,World Bank WDI (live wbdata fetch)
2003,6973014055.50478,,12986334590.0435,12113312121.0449,1381.8257280882,17.6254564851668,49.9566881481443,World Bank WDI (live wbdata fetch)
2004,7383282020.15368,,13941091104.0025,13122875173.0701,1466.6134889113,18.3202881345701,50.5696510233382,World Bank WDI (live wbdata fetch)
2005,7776139095.96012,,14995018195.4826,13890931806.1344,1549.04577531643,16.8928983530893,51.0781236333777,World Bank WDI (live wbdata fetch)
2006,8388751597.46893,,16162503792.5796,14878580588.4587,1643.14645619601,13.4182650436473,51.4638817209862,World Bank WDI (live wbdata fetch)
2007,9092932537.77933,,18183181588.0243,15839081545.3149,1773.75803693248,13.3827100038767,51.7087010288873,World Bank WDI (live wbdata fetch)
2008,9685244221.96,,20426623710.0736,16586190311.4804,1904.45855506712,14.7337608028994,51.7943572998047,World Bank WDI (live wbdata fetch)
2009,10643025491.9607,,21811252757.4505,17551986684.7464,2025.04298646098,15.3044727860607,51.6105041503906,World Bank WDI (live wbdata fetch)
2010,13417593844.3062,7474485237.7209,23067551756.8253,18546095504.0699,2144.6400056546,17.2833092833093,51.3321647644043,World Bank WDI (live wbdata fetch)
2011,14115486808.3335,8082285330.30415,25380041425.2143,19673440788.7354,2271.00936223002,16.6900234830695,51.3395500183105,World Bank WDI (live wbdata fetch)
2012,15192810403.6658,8588431120.56065,27349339653.5622,21043296886.2591,2395.84036755728,16.3377626990859,51.3359680175781,World Bank WDI (live wbdata fetch)
2013,16687288789.7663,9658900639.13061,29201169518.8629,22398348107.9657,2530.68447898703,16.7739575713241,51.1276969909668,World Bank WDI (live wbdata fetch)
2014,17925553344.5919,10427457403.5118,31362860681.4072,23738588344.6761,2659.99075095273,16.4912217778814,50.8868713378906,World Bank WDI (live wbdata fetch)
2015,19411796035.2944,11041283755.8004,33751908600.333,25187167939.3756,2803.19018021751,15.707517592141,50.6597328186035,World Bank WDI (live wbdata fetch)
2016,20548407802.5926,11778835169.7741,35729284777.6801,26740729491.292,2918.67725852903,15.5014731679071,50.6572189331055,World Bank WDI (live wbdata fetch)
2017,21656145121.6399,12275474864.2026,37858760524.8583,27048713572.3715,2995.76761437743,16.1624465636304,50.6787376403809,World Bank WDI (live wbdata fetch)
2018,24024389016.4664,13181063951.8771,39949374965.0678,27120696484.0957,3108.1618786112,7.67298397354363,50.5814971923828,World Bank WDI (live wbdata fetch)
2019,26267862214.8397,14060996338.2363,43033898867.8311,27954843423.3879,3259.36964632494,7.40268530323779,50.5920104980469,World Bank WDI (live wbdata fetch)
2020,27180692967.7487,15193095459.7562,42701792695.5403,28752686259.3648,3249.05191094018,15.0,50.7670402526855,World Bank WDI (live wbdata fetch)
2021,29389206521.078,16486034593.5972,47359856556.8084,29889721845.544,3442.7248445034,3.35187702310721,50.9269905090332,World Bank WDI (live wbdata fetch)
2022,31025933436.317,17334192642.5901,51650773748.1772,30968022099.0795,3576.71552716054,4.54967752359666,50.9847412109375,World Bank WDI (live wbdata fetch)
2023,33090749501.3792,18609155324.3543,55295157613.2613,32224266819.5325,3725.67414578619,4.92546550425143,50.9964841114568,World Bank WDI (live wbdata fetch)
2024,35486626593.0503,20049196585.9471,59546865800.7854,33227794912.0542,3890.41593075015,,50.9986686706543,World Bank WDI (live wbdata fetch)
2025,,,,,,,,World Bank WDI (live wbdata fetch)
