,coef,std_err,pvalue,ci_lo,ci_hi
const,-0.07625477427513125,0.2036686869959655,0.7081022948362912,-0.47543806556578483,0.3229285170155224
dlngdp_pc,-4.815648274174688,5.638364621798038,0.3930573416037656,-15.866639864603645,6.235343316254269
dlnind,1.1057301500820698,3.5683949840035623,0.7566616081476156,-5.888195501178295,8.099655801342434
dlnserv,2.7892900047186013,2.553387692169449,0.2746626072100774,-2.215257910501365,7.793837919938568
dlnagri,1.403234617741723,2.6763742613946957,0.6000668847357984,-3.842362543741869,6.648831779225315
dcdd_natl,0.00011426219223630944,0.00024277203623676545,0.6378861844215532,-0.0003615622552412037,0.0005900866397138226
dhdd_natl,-3.498417091912281e-05,0.0001040364000138406,0.7366683527349809,-0.00023889176802745275,0.00016892342618920716
dind_share,0.016550877171383326,0.02439828800116159,0.49754204786167067,-0.03126888859532913,0.06437064293809579
durban,-0.041226626820646366,0.12880984840553994,0.7489243377636978,-0.29368929054956877,0.21123603690827603
denergy_eff,-0.0757516325442558,0.07237594507244038,0.2952651781975604,-0.21760587823328814,0.06610261314477654
