year,elec_consumption_twh,elec_consumption_twh_bridged,gen_total_twh,gen_total_twh_bridged,gen_gas_twh,gen_hydro_twh,gen_coal_twh,gen_solar_twh,gen_wind_twh,gen_fossil_twh,gen_renewable_twh,re_penetration_pct,fossil_share_pct,capacity_total_mw,capacity_thermal_mw,capacity_hydro_mw,sc_solar_twh,sc_wind_twh,irena_re_share_generation_pct,irena_re_share_capacity_pct,sc_gas_prod_tj,sc_gas_cons_tj,gas_self_sufficiency_pct,wb_co2_total_mt,wb_co2_power_mt,co2_intensity_power_gco2kwh,wb_gdp_const2015_bn_usd,wb_gdp_growth_pct,wb_population,wb_urban_pop_pct,is_preliminary,data_status
2011,43.257,43.257,52.80400000000001,52.80400000000001,44.401,5.703,2.1550000000000002,,,47.101000000000006,5.703,10.800318157715322,89.19968184228468,12546.1,10758.2,1787.9,,,16.1,14.25,2401858.29,2079189.3900000001,115.51897588319262,138.6782,40.3567,93.911952,65.45774796539095,7.525139894229767,28823196.0,51.3395500183105,0,confirmed
2012,43.717,43.717,53.055,53.055,43.796,6.6530000000000005,2.22,,,46.402,6.6530000000000005,12.53981717086043,87.46018282913958,12580.9,10758.7,1822.2,,,16.4,14.48,2344331.1,1803772.11,129.96825302948054,123.1859,40.6652,95.280661,70.10684843894556,7.102444887063172,29261903.0,51.3359680175781,0,confirmed
2013,44.626,44.626,54.68000000000001,54.68000000000001,46.404,5.704,2.2920000000000003,,,48.976000000000006,5.704,10.431602048280904,89.56839795171909,13103.0,11281.0,1822.0,,,15.97,13.91,2221435.74,1764731.04,125.87956406093477,121.417,43.1009,98.757357,75.22222994790175,7.296550369698991,29724065.0,51.1276969909668,0,confirmed
2014,45.788,45.788,55.763000000000005,55.763000000000005,47.015,6.075,2.471,,,49.688,6.075,10.894320606854006,89.10567939314599,13036.0,11165.0,1871.0,,,15.97,14.36,2063541.72,1648731.7800000003,125.15933428541055,113.1595,43.8467,98.757508,80.39288450609992,6.8738384408163995,30222994.0,50.8868713378906,0,confirmed
2015,47.104,47.104,57.412000000000006,57.412000000000006,48.279,6.825,2.16,,,50.587,6.825,11.887758656726815,88.11224134327318,13215.8,11335.4,1880.4,3e-06,0.0,15.97,14.24,2080279.05,1582083.45,131.48984334549482,107.5503,43.9393,97.24332,86.19626475531054,7.218773508208031,30749346.0,50.6597328186035,0,confirmed
2016,48.119,48.119,58.717,58.717,49.505,6.86,2.2,,,51.857,6.86,11.683158199499294,88.31684180050071,14102.1,12221.7,1880.4,0.0003,0.0,13.9,13.35,2138633.0100000002,1664600.4300000002,128.4772592543425,114.0078,45.1663,98.545168,91.309557164505,5.932150799932927,31284568.0,50.6572189331055,0,confirmed
2017,50.35,50.35,60.81700000000001,60.81700000000001,50.486000000000004,7.929,2.246,0.0,,52.888000000000005,7.929,13.037473074962591,86.96252692503741,14373.9,12516.4,1857.5,0.0007,0.0,13.49,12.95,2158067.82,1755087.9300000002,122.96066670574162,118.2658,45.7278,98.896621,95.32286296851092,4.395274633492633,31819178.0,50.6787376403809,0,confirmed
2018,57.676,57.676,62.894,62.894,54.216,5.897,2.347,0.0,,56.997,5.897,9.376093109040609,90.62390689095939,14191.4,12276.5,1914.9,0.0002,0.0,10.05,13.52,2346407.5500000003,1841872.11,127.39253378455251,112.7949,37.0928,77.660647,100.62204749560077,5.559195729192879,32373490.0,50.5814971923828,0,confirmed
2019,60.141,60.141,63.528999999999996,63.528999999999996,52.561,6.461,3.8160000000000003,0.0,0.015,57.053,6.476,10.193769774433724,89.80623022556628,15939.4,14031.9,1907.5,0.0001,0.0155,11.24,11.99,2313123.39,1893989.1,122.12970972219428,115.1171,39.1342,80.416232,107.44414583957732,6.7799239965523554,32964701.0,50.5920104980469,0,confirmed
2020,59.046,59.046,66.499,66.499,55.841,4.999,5.203,0.0,,61.5,4.999,7.517406276786118,92.4825937232139,16643.0,14620.4,2020.6,3e-05,0.0,9.48,12.16,1896168.42,1754790.75,108.05666829506595,123.9451,39.4036,80.328752,109.1238661281477,1.5633427726051536,33586372.0,50.7670402526855,0,confirmed
2021,72.559,72.559,71.36200000000001,71.36200000000001,60.057,4.972,4.955,0.049,0.001,66.34,5.022000000000001,7.037358818418767,92.96264118158123,16493.3,14440.3,2051.9,0.049,0.0012,7.74,12.46,2049856.2000000002,1976776.59,103.69690790399335,134.3607,48.4728,95.634748,117.89162298682184,8.034683126400495,34243696.0,50.9269905090332,0,confirmed
2022,73.164,73.164,74.267,74.267,61.034,6.484,5.639,0.435,,67.348,6.919,9.31638547403288,90.68361452596713,17658.9,15232.3,2225.2,0.4358,0.0,9.34,13.76,1968947.04,1850276.97,106.41363817007354,128.9082,44.0833,90.674481,124.96670285126324,6.001342322034418,34938955.0,50.9847412109375,0,confirmed
2023,73.418,73.418,74.32600000000001,74.32600000000001,56.384,6.94,8.271,0.622,0.007,66.757,7.569,10.183515862551461,89.81648413744854,20400.5,16319.4,3831.9,0.6224,0.007200000000000001,10.77,15.46,1779666.2400000002,1812032.1900000002,98.21383139998193,132.6306,47.6979,97.750114,132.82887842753215,6.291416350823113,35652307.0,50.9964841114568,0,confirmed
2024,,77.72020686822984,,81.9569424163842,,,,,,,,,,21501.4,15683.9,3134.2,3.9652,0.7896000000000001,,24.39,1582052.97,1792886.9400000002,88.24053177608621,148.5388,54.3786,,141.46275552529087,6.499999999976765,36361859.0,50.9986686706543,1,preliminary
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,preliminary
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,preliminary
