year,gdp_pc_const2015_usd,industry_va_const2015_usd,urban_pop_pct_wb,cons_lag1,services_va_const2015_usd,cdd24,hdd18,mu_twh,sd_twh,scenario,lo90_twh,hi90_twh
2024,3933.1401013353093,35638737212.9854,51.0464841114568,73.418,59552884749.482414,566.4653999999999,2168.8691999999996,74.07766853185898,4.615835283358851,Accelerated (+1pp GDP),66.48461949073366,81.67071757298429
2025,4197.726345742528,38739307350.51513,51.096484111456796,74.07766853185898,64733985722.687386,566.4653999999999,2168.8691999999996,75.48543488332882,4.566215236181363,Accelerated (+1pp GDP),67.97401081981047,82.99685894684717
2026,4430.747424526073,41644755401.803764,51.14648411145679,75.48543488332882,69589034651.88893,566.4653999999999,2168.8691999999996,77.39799106738491,4.666282822633288,Accelerated (+1pp GDP),69.72195582415314,85.07402631061667
2027,4650.6054193711325,44518243524.52822,51.19648411145679,77.39799106738491,74390678042.86926,566.4653999999999,2168.8691999999996,79.68071387893502,4.860916392381377,Accelerated (+1pp GDP),71.68450641346766,87.67692134440239
2028,4876.719132784466,47545484084.196144,51.24648411145679,79.68071387893502,79449244149.78438,566.4653999999999,2168.8691999999996,82.28736797700157,5.116849603617634,Accelerated (+1pp GDP),73.87015037905056,90.70458557495257
2029,5113.894511215305,50778577001.921486,51.296484111456785,82.28736797700157,84851792751.96973,566.4653999999999,2168.8691999999996,85.19863382718407,5.424188995191917,Accelerated (+1pp GDP),76.27584293009336,94.12142472427477
2030,5357.55502898892,54180741661.050224,51.34648411145678,85.19863382718407,90536862866.3517,566.4653999999999,2168.8691999999996,88.38912783735516,5.782176314563564,Accelerated (+1pp GDP),78.87744779989809,97.90080787481223
2024,3896.6206946376738,35307829717.9716,51.0464841114568,73.418,58999933173.3498,566.4653999999999,2168.8691999999996,73.97981666743271,4.638037186381437,Baseline (IMF WEO Oct 2025),66.35024549583525,81.60938783903018
2025,4120.491270383879,38026532606.25542,51.096484111456796,73.97981666743271,63542928027.69773,566.4653999999999,2168.8691999999996,75.20108509506028,4.5942317590148996,Baseline (IMF WEO Oct 2025),67.64357385148077,82.75859633863979
2026,4308.767026462699,40498257225.66202,51.14648411145679,75.20108509506028,67673218349.49808,566.4653999999999,2168.8691999999996,76.84514450773403,4.686723096514366,Baseline (IMF WEO Oct 2025),69.1354850139679,84.55480400150017
2027,4480.265666277988,42887654401.976074,51.19648411145679,76.84514450773403,71665938232.11845,566.4653999999999,2168.8691999999996,78.78280159967765,4.861837163848738,Baseline (IMF WEO Oct 2025),70.78507946514648,86.78052373420883
2028,4654.107737926991,45375138357.29069,51.24648411145679,78.78280159967765,75822562649.58133,566.4653999999999,2168.8691999999996,80.97032827131827,5.087177931425451,Baseline (IMF WEO Oct 2025),72.6019205741234,89.33873596851313
2029,4834.759428157491,48006896382.01355,51.296484111456785,80.97032827131827,80220271283.25705,566.4653999999999,2168.8691999999996,83.38853331130004,5.35330020543312,Baseline (IMF WEO Oct 2025),74.58235447336256,92.19471214923752
2030,5017.649396886839,50743289475.78832,51.34648411145678,83.38853331130004,84792826746.4027,566.4653999999999,2168.8691999999996,86.01127650999159,5.6595333887069375,Baseline (IMF WEO Oct 2025),76.70134408556868,95.3212089344145
2024,3841.8415845912214,34811468475.45092,51.0464841114568,73.418,58170505809.15089,566.4653999999999,2168.8691999999996,73.8330388707933,4.67171404649117,Delayed (−1.5pp GDP),66.14806926431532,81.51800847727128
2025,4005.9832791313993,36969779520.92888,51.096484111456796,73.8330388707933,61777077169.318245,566.4653999999999,2168.8691999999996,74.77823046337812,4.636922041972871,Delayed (−1.5pp GDP),67.15049370433275,82.4059672224235
2026,4130.026494526737,38818268496.97533,51.14648411145679,74.77823046337812,64865931027.78416,566.4653999999999,2168.8691999999996,76.03039369745099,4.718619348691297,Delayed (−1.5pp GDP),68.2682648688538,83.79252252604817
2027,4233.583509014027,40526272310.84224,51.19648411145679,76.03039369745099,67720031993.00666,566.4653999999999,2168.8691999999996,77.47184508806629,4.865600240253491,Delayed (−1.5pp GDP),69.4679326928493,85.47575748328327
2028,4335.502459891037,42268902020.20845,51.24648411145679,77.47184508806629,70631993368.70595,566.4653999999999,2168.8691999999996,79.06593110752493,5.047195320473208,Delayed (−1.5pp GDP),70.7632948053465,87.36856740970336
2029,4439.933997899718,44086464807.07741,51.296484111456785,79.06593110752493,73669169083.5603,566.4653999999999,2168.8691999999996,80.79703062920728,5.2550800666415665,Delayed (−1.5pp GDP),72.1524239195819,89.44163733883266
2030,4542.497416317299,45938096328.97466,51.34648411145678,80.79703062920728,76763274185.06984,566.4653999999999,2168.8691999999996,82.6413163104782,5.489145003954981,Delayed (−1.5pp GDP),73.61167277897226,91.67095984198414
