nace_code,activity_en,energy_efficiency_pct,fuel_share_pct,electricity_share_pct,heat_share_pct,source,source_url
60,Деятельность по созданию программ и телерадиовещание,Programming and broadcasting activities,2.300870987794308,9.385496628006736,90.60884436753061,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
61,Связь,Communication,2.7530257222927546,15.009273928951108,84.76057929023725,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
62,"Компьютерное программирование, консультации и другие сопутствующие услуги","Computer programming, consultations and other related services",0.10224282989220082,51.568672416613104,46.856980124132434,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
63,Деятельность в области информационного обслуживания,Information service activities,0.07749539575611801,25.273133610901894,71.74225645080578,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
64,"Финансовые услуги, кроме услуг по страхованию и пенсионному обеспечению","Financial services, excluding insurance and pension services",0.1473586025164692,54.14184097430256,44.24901625454034,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
65,"Страхование, перестрахование и деятельность пенсионных фондов, кроме обязательного социального страхования","Insurance, reinsurance and activities of pension funds, except for compulsory social insurance",0.1483137297210506,6.605944445386751,93.12493286067247,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
66,Вспомогательная деятельность по предоставлению финансовых услуг и страхования,Auxiliary activities for the provision of financial services and insurance,0.15133623139841923,32.03536982692023,58.91360746165566,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
68,Операции с недвижимым имуществом,Real estate operations,5.39311100933032,10.448582755311234,87.16632717733899,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
69,Деятельность в области права и бухгалтерского учета,Activities in the field of law and accounting,0.3318341044073142,29.328696683049714,69.30538170861222,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
70,Деятельность головных компаний; консультации по вопросам управления,Activities of the head companies; consulting on management issues,17.4609725213448,99.19413508974671,0.7852932132590297,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
71,"Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа","Activities in the field of architecture, engineering surveys, technical testing and analysis",2.531487155109108,81.38877800046349,17.53865620661648,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
72,Научные исследования и разработки,Scientific research and development,0.9253206511719548,43.16948685443422,54.646309871575816,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
73,Рекламная деятельность и изучение конъюнктуры рынка,Advertising activities and study of market conditions,0.477432280301208,20.735020966022198,78.57555864326802,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
74,"Прочая профессиональная, научная и техническая деятельность","Other professional, scientific and technical activities",1.4142747656416523,79.5250773441134,20.187028074210122,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
75,Ветеринарная деятельность,Veterinary activities,0.6614440026387215,22.060578158869003,75.82858567838714,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
77,"Аренда, прокат, лизинг","Rent, rental, leasing",1.2910424835239052,82.46677496264854,16.888070941617677,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
78,Трудоустройство,Employment,0.2530071181389155,24.410203028649722,73.93221384902873,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
79,"Деятельность туроператоров, турагентов и прочих организаций, предоставляющих услуги в сфере туризма","The activities of tour operators, travel agents and other organizations providing services in tourism",0.4985689104253242,66.42255175001786,31.735752215198215,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
