id,file,n_rows,n_meta_cols,n_time,t_start,t_end,monthly,uzb,kaz,kgz,tjk,tkm,n_unique_entities,first_entity,error
1251,sdmx_data_1251.csv,221,5,6,2019,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1252,sdmx_data_1252.csv,221,5,6,2019,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1253,sdmx_data_1253.csv,15,5,11,2014,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1254,sdmx_data_1254.csv,15,5,11,2014,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1255,sdmx_data_1255.csv,15,5,11,2014,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1256,sdmx_data_1256.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1257,sdmx_data_1257.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1258,sdmx_data_1258.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1259,sdmx_data_1259.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1261,sdmx_data_1261.csv,1,5,25,2000,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1262,sdmx_data_1262.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1263,sdmx_data_1263.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1264,sdmx_data_1264.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1265,sdmx_data_1265.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1266,sdmx_data_1266.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1267,sdmx_data_1267.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1268,sdmx_data_1268.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1269,sdmx_data_1269.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1270,sdmx_data_1270.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1271,sdmx_data_1271.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1272,sdmx_data_1272.csv,1,5,10,2015,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1275,sdmx_data_1275.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1276,sdmx_data_1276.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1279,sdmx_data_1279.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
