year,gdp_pc_const2015_usd,industry_va_const2015_usd,urban_pop_pct_wb,cons_lag1,services_va_const2015_usd,cdd24,hdd18,mu_twh,sd_twh,lo90_twh,hi90_twh
2024,3896.6206946376738,35307829717.9716,51.0464841114568,73.418,58999933173.3498,566.4653999999999,2168.8691999999996,73.97981666743271,4.638037186381437,66.35024549583525,81.60938783903018
2025,4120.491270383879,38026532606.25542,51.096484111456796,73.97981666743271,63542928027.69773,566.4653999999999,2168.8691999999996,75.2010850950603,4.5942317590148996,67.64357385148078,82.7585963386398
2026,4308.767026462699,40498257225.66202,51.14648411145679,75.20108509506028,67673218349.49808,566.4653999999999,2168.8691999999996,76.84514450773403,4.686723096514366,69.1354850139679,84.55480400150017
2027,4480.265666277988,42887654401.976074,51.19648411145679,76.84514450773403,71665938232.11845,566.4653999999999,2168.8691999999996,78.78280159967764,4.861837163848737,70.78507946514647,86.78052373420881
2028,4654.107737926991,45375138357.29069,51.24648411145679,78.78280159967765,75822562649.58133,566.4653999999999,2168.8691999999996,80.97032827131827,5.087177931425451,72.6019205741234,89.33873596851313
2029,4834.759428157491,48006896382.01355,51.296484111456785,80.97032827131827,80220271283.25705,566.4653999999999,2168.8691999999996,83.38853331130002,5.35330020543312,74.58235447336254,92.1947121492375
2030,5017.649396886839,50743289475.78832,51.34648411145678,83.38853331130004,84792826746.4027,566.4653999999999,2168.8691999999996,86.01127650999157,5.6595333887069375,76.70134408556866,95.32120893441449
