sector_ru,Уголь,Газ природный,"Нефть, включая газовый конденсат",Бензин моторный,Топливо дизельное,Мазут,Газы углеводородные сжиженные,Керосин,Кокс,Прочие виды нефтепродуктов,Электроэнергия,Теплоэнергия,Всего,sector_en,electricity_ktoe,electricity_gwh,electricity_twh,source,source_url,unit_note
Целлюлозно-бумажная и полиграфическая промышленность,3.8158175970000006,54.65573161612229,0.0,0.6984637719531,0.5141796145783909,0.0,0.008849500000000001,0.0632510748065346,0.0,0.0,24.906036637141877,0.00092,84.66324981160218,"Industry — Pulp, paper & printing",24.906036637141877,289.65720608996,0.28965720608996004,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Текстильная и кожевенная промышленность,0.028938751,477.64303306461596,4.863440686717728,0.7294765133667,3.8900340049847735,0.00184628,2.5774155000000007,0.042964346746918736,0.0,0.0,503.8355481240049,0.0074447,993.620141971437,Industry — Textile & leather,503.8355481240049,5859.607424682177,5.859607424682177,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Др. отрасли промышленности,0.15849480000000002,93.04442876148002,0.031000004377199998,0.9310175037031501,9.122814614775042,10.302,330.43099430000007,0.001265021496130692,0.0,0.0,76.44924959891702,0.0042129,520.4754775047486,Industry — Other branches,76.44924959891702,889.104772835405,0.889104772835405,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Сектор транспорта,0.69435785,4162.42406293616,0.0,1892.5970774686962,1110.0808862429344,0.017877,44.8255544,276.30177844654537,5.04,0.0,113.54945173229503,0.0,7605.531046076632,Transport — total,113.54945173229503,1320.5801236465913,1.3205801236465913,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Железные дороги,0.41196165000000007,0.8864906048599999,0.0,2.2812507,6.031506907666974,0.017877,0.0,0.0,0.0,0.0,35.485190096923624,0.0,45.1142769594506,Transport — Rail,35.485190096923624,412.6927608272218,0.4126927608272218,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
автомобильный транспорт,0.0,4161.5375723313,0.0,1884.960156838696,1104.0493793352675,0.0,44.8255544,0.0,0.0,0.0,0.767325892176,0.0,7196.139988797439,Transport — Road,0.767325892176,8.92400012600688,0.008924000126006882,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
"прочие виды транспорта (водный, воздушный, городской электрический)",0.0,0.0,0.0,2.20444824,0.0,0.0,0.0,276.30177844654537,5.04,0.0,8.405276730892309,0.0,291.95150341743766,Transport — Water + air,8.405276730892309,97.75336838027756,0.09775336838027757,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Транспортировк а по трубопроводам,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.421537443992385,0.0,39.421537443992385,Transport — Pipelines,39.421537443992385,458.4724804736315,0.4584724804736315,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Автоперевозки,0.2823962,0.0,0.0,3.15122169,0.0,0.0,0.0,0.0,0.0,0.0,29.470121568310713,0.0,32.90373945831071,Transport — Auto-haul,29.470121568310713,342.73751383945364,0.34273751383945367,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Другие,1095.4120232789999,21832.49170011666,0.0,153.0311178060645,395.67963282445413,156.53867386000002,732.2237339999989,14.61931762354843,0.0,0.0,3256.1340114194318,1669.3709171210003,29305.50112805016,Other sectors — total,3256.1340114194318,37868.838552807996,37.86883855280799,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Население,635.5663,9753.963828,0.0,0.0,0.0,0.0,689.6266299999988,1.1279163580108873,0.0,0.0,1400.9572761013792,1205.24,13686.481950459389,Households (residential),1400.9572761013792,16293.133121059042,16.293133121059043,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Строительство,2.75016185,338.581166,0.0,39.1886604060645,3.8423526763329727,0.0,0.0,0.9606889496990507,0.0,0.0,51.673588777782406,0.5266163999999999,437.5232350598789,Construction,51.673588777782406,600.9638374856095,0.6009638374856094,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Коммерческие предприятия и государственные учреждения,435.107564,10867.828834165099,0.0,100.94218644000001,66.93156695328199,156.53766386,42.3801312,0.0,0.0,0.0,656.5559149455479,441.40000000000003,12767.683861563926,Commercial & government services,656.5559149455479,7635.745290816722,7.635745290816723,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Сельское хозяйство,10.066358214000003,232.19581010317998,0.0,37.92237504,321.99682938736254,0.00101,0.1353,0.0016129024075666324,0.0,0.0,819.4455071853598,0.19608910000000004,1421.96089193231,Agriculture,819.4455071853598,9530.151248565735,9.530151248565735,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Рыболовство,0.0,0.2588655643,0.0,0.09444462000000002,0.22452074572943614,0.0,0.08167280000000002,0.0,0.0,0.0,2.6715182664406716,0.0212606,3.352282596470108,Fisheries,2.6715182664406716,31.06975743870501,0.03106975743870501,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Неспецифицированные другие секторы,11.921639215,639.6631962840817,0.0,-25.116548700000003,2.6843630617471983,0.0,0.0,12.529099413430925,0.0,0.0,324.8302061429218,21.986951020999996,988.4989064381815,Unspecified other,324.8302061429218,3777.7752974421805,3.7777752974421803,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
