scope,variable,year,has_value
national,fuel_oil_production_kt,2022,1
national,fuel_oil_production_kt,2023,1
national,fuel_oil_production_kt,2024,1
national,nat_gas_production_mcm,2010,1
national,nat_gas_production_mcm,2011,1
national,nat_gas_production_mcm,2012,1
national,nat_gas_production_mcm,2013,1
national,nat_gas_production_mcm,2014,1
national,nat_gas_production_mcm,2015,1
national,nat_gas_production_mcm,2016,1
national,nat_gas_production_mcm,2017,1
national,nat_gas_production_mcm,2018,1
national,nat_gas_production_mcm,2019,1
national,nat_gas_production_mcm,2020,1
national,nat_gas_production_mcm,2021,1
national,nat_gas_production_mcm,2022,1
national,nat_gas_production_mcm,2023,1
national,nat_gas_production_mcm,2024,1
national,nat_gas_consumption_mcm,2010,1
national,nat_gas_consumption_mcm,2011,1
national,nat_gas_consumption_mcm,2012,1
national,nat_gas_consumption_mcm,2013,1
national,nat_gas_consumption_mcm,2014,1
national,nat_gas_consumption_mcm,2015,1
national,nat_gas_consumption_mcm,2016,1
national,nat_gas_consumption_mcm,2017,1
national,nat_gas_consumption_mcm,2018,1
national,nat_gas_consumption_mcm,2019,1
national,nat_gas_consumption_mcm,2020,1
national,nat_gas_consumption_mcm,2021,1
national,nat_gas_consumption_mcm,2022,1
national,nat_gas_consumption_mcm,2023,1
national,nat_gas_consumption_mcm,2024,1
national,coal_production_kt,2010,1
national,coal_production_kt,2011,1
national,coal_production_kt,2012,1
national,coal_production_kt,2013,1
national,coal_production_kt,2014,1
national,coal_production_kt,2015,1
national,coal_production_kt,2016,1
national,coal_production_kt,2017,1
national,coal_production_kt,2018,1
national,coal_production_kt,2019,1
national,coal_production_kt,2020,1
national,coal_production_kt,2021,1
national,coal_production_kt,2022,1
national,coal_production_kt,2023,1
national,coal_production_kt,2024,1
national,coal_consumption_kt,2010,1
national,coal_consumption_kt,2011,1
national,coal_consumption_kt,2012,1
national,coal_consumption_kt,2013,1
national,coal_consumption_kt,2014,1
national,coal_consumption_kt,2015,1
national,coal_consumption_kt,2016,1
national,coal_consumption_kt,2017,1
national,coal_consumption_kt,2018,1
national,coal_consumption_kt,2019,1
national,coal_consumption_kt,2020,1
national,coal_consumption_kt,2021,1
national,coal_consumption_kt,2022,1
national,coal_consumption_kt,2023,1
national,coal_consumption_kt,2024,1
national,elec_supply_enterprises_gwh,2010,1
national,elec_supply_enterprises_gwh,2011,1
national,elec_supply_enterprises_gwh,2012,1
national,elec_supply_enterprises_gwh,2013,1
national,elec_supply_enterprises_gwh,2014,1
national,elec_supply_enterprises_gwh,2015,1
national,elec_supply_enterprises_gwh,2016,1
national,elec_supply_enterprises_gwh,2017,1
national,elec_supply_enterprises_gwh,2018,1
national,elec_supply_enterprises_gwh,2019,1
national,elec_supply_enterprises_gwh,2020,1
national,elec_supply_enterprises_gwh,2021,1
national,elec_supply_enterprises_gwh,2022,1
national,elec_supply_enterprises_gwh,2023,1
national,elec_supply_enterprises_gwh,2024,1
national,elec_supply_housing_gwh,2010,1
national,elec_supply_housing_gwh,2011,1
national,elec_supply_housing_gwh,2012,1
national,elec_supply_housing_gwh,2013,1
national,elec_supply_housing_gwh,2014,1
national,elec_supply_housing_gwh,2015,1
national,elec_supply_housing_gwh,2016,1
national,elec_supply_housing_gwh,2017,1
national,elec_supply_housing_gwh,2018,1
national,elec_supply_housing_gwh,2019,1
national,elec_supply_housing_gwh,2020,1
national,elec_supply_housing_gwh,2021,1
national,elec_supply_housing_gwh,2022,1
national,elec_supply_housing_gwh,2023,1
national,elec_supply_housing_gwh,2024,1
