year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity
2024,78.09492715477441,11.260924116222665,69.3007166692559,95.02172219259441
2025,80.46007754525189,10.662336856805277,71.88115304213039,95.10768096013177
2026,83.07533976937636,10.321873137716741,74.50040858965419,91.94532768012783
2027,86.71572447787327,9.724145787003179,78.28336100938887,94.9357607548513
2028,89.88679308089942,9.224145787003179,81.59550424385537,95.9357607548513
2029,93.24844881224823,8.724145787003179,85.11331819374865,96.9357607548513
2030,96.90305298232384,8.224145787003179,88.9336046330006,97.9357607548513
2031,100.52391763640188,7.724145787003179,92.75930368735919,98.9357607548513
2032,104.27609383933077,7.224145787003179,96.74303679938528,99.9357607548513
2033,108.16644725928855,6.724145787003179,100.89317765295208,100.9357607548513
2034,112.12578973031273,6.224145787003179,105.14691711266943,101.9357607548513
2035,116.1957375739157,5.724145787003179,109.54452415690113,102.9357607548513
2036,120.37576682942438,5.224145787003179,114.08716127803224,103.9357607548513
2037,124.65342724092446,4.724145787003179,118.76461760956725,104.9357607548513
2038,129.04106905385322,4.224145787003179,123.59018617191103,105.9357607548513
2039,133.54044025875996,3.724145787003179,128.56719957891787,106.9357607548513
2040,138.15202055536332,3.224145787003179,133.6977980049678,107.9357607548513
