year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity_gco2kwh,gdp_bn_usd_2015,pop_millions
2024,56.93086168543657,11.001655850082795,50.66752421031819,95.54025872487415,140.1344667410464,36.187091605
2025,58.58292424867217,11.652375955068766,51.75662166974375,93.12760276360478,147.84186241180396,36.72989797907499
2026,60.367501635464755,10.405622424254037,54.08588734832291,91.77782910705324,155.97316484445315,37.28084644876111
2027,62.29250693184867,9.218834725915508,56.549863671172076,95.94638287702665,164.5516889108981,37.84005914549253
2028,64.36629781515121,9.304608357175766,58.37726588943801,95.77483561450613,173.60203180099748,38.40766003267491
2029,66.59770114708715,10.384576965936404,59.68181161392358,93.61489839698486,183.1501435500523,38.98377493316503
2030,68.99603892158208,11.109215162887818,61.3311205039137,92.16562200308204,193.22340144530517,39.56853155716251
2031,71.57115564186634,10.743707102444295,63.881760309869684,92.89663812396907,203.85068852479694,40.16205953051994
2032,74.33344720548119,9.864186357440037,67.00105744722322,94.65567961397758,215.06247639366075,40.76449042347773
2033,77.29389138016553,9.51731993513962,69.93758444719587,95.34941245857843,226.8909125953121,41.375957779829896
2034,80.46407995815427,9.99698202310963,72.42010034967703,94.3900882826384,239.36991278805425,41.996597146527336
2035,83.85625268123457,10.64416339663401,74.93045612754968,93.09572553558965,252.5352579913972,42.626546103725246
2036,87.48333303398603,10.722824758639286,78.10264853973491,92.9384028115791,266.42469718092406,43.26594429528112
2037,91.35896600798907,10.23866620600753,82.00502642917118,93.9067199168426,281.07805552587484,43.914933459710326
2038,95.49755794544028,9.813017098478221,86.12636625562509,94.75801813190122,296.537348579798,44.57365746160598
2039,99.91431857657746,9.90270758156028,90.02009577583043,94.5786371657371,312.8469027516868,45.24226232353007
2040,104.62530537161028,10.326207872795878,93.82147885139032,93.73163658326591,330.05348240302953,45.92089625838301
