year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity_gco2kwh,gdp_bn_usd_2015,pop_millions
2024,56.46669156433156,10.501655850082795,50.53675394631773,96.54025872487415,138.80617795677108,36.187091605
2025,57.60816699435164,10.652375955068766,51.47152846528947,95.12760276360478,145.05245596482575,36.72989797907499
2026,58.83224735565691,8.905622424254037,53.59286954245893,94.77782910705324,151.57981648324292,37.28084644876111
2027,60.1431184482092,7.218834725915508,55.801486128421374,99.94638287702665,158.40090822498885,37.84005914549253
2028,61.545161461639495,6.804608357175766,57.35725426138345,100.77483561450613,165.52894909511335,38.40766003267491
2029,63.04296187321295,7.384576965936404,58.3875058320796,99.61489839698486,172.97775180439342,38.98377493316503
2030,64.64131874778411,7.609215162887818,59.72262172013708,99.16562200308204,180.7617506355911,39.56853155716251
2031,66.34525445785506,6.743707102444295,61.87112482084595,100.89663812396907,188.8960294141927,40.16205953051994
2032,68.16002484266541,5.364186357440037,64.5037940888274,103.65567961397758,197.39635073783134,40.76449042347773
2033,70.09112982609523,4.51731993513962,66.92488924569643,105.34941245857843,206.27918652103375,41.375957779829896
2034,72.14432451405197,4.496982023109631,68.90000720996119,105.3900882826384,215.56174991448026,41.996597146527336
2035,74.32563079294339,4.64416339663401,70.87382705334018,105.09572553558965,225.26202866063184,42.626546103725246
2036,76.64134945181122,4.222824758639286,73.40491957180488,105.9384028115791,235.39881995036026,43.26594429528112
2037,79.09807285171581,3.2386662060075295,76.53635029666407,107.9067199168426,245.99176684812645,43.914933459710326
2038,81.70269816702461,2.3130170984782215,79.81290078850327,109.75801813190122,257.06139635629216,44.57365746160598
2039,84.46244122436693,1.9027075815602803,82.85536795162,110.5786371657371,268.6291591923253,45.24226232353007
2040,87.38485096617696,1.8262078727958784,85.78902193820169,110.73163658326591,280.71747135597985,45.92089625838301
