target,label,RMSE,MAPE,R2,cv_mape
CO2 Intensity,Ridge,8.984623921979006,8.184241315993981,-0.48251255786838887,8.260037121777081
Demand,Ridge,2.8137067055778653,3.183111705350614,0.8185726308595744,6.195808592040711
Fossil Gen,"ARIMA(1,0,3) [NB03]",2.208,2.96,0.69,
RE Penetration,Lasso,0.9625798397163877,10.070352958253734,0.4772859055470777,2.639293806728013
