year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity
2024,79.15301938287215,11.760924116222665,69.84389283755353,94.02172219259441
2025,81.84218077365506,11.662336856805277,72.29746996087589,93.10768096013177
2026,84.85030932081222,11.821873137716741,74.81941339594555,88.94532768012783
2027,89.11363728013892,11.724145787003179,78.66582452931421,90.9357607548513
2028,92.75213877912557,11.724145787003179,81.87774280809738,90.9357607548513
2029,96.63275704486504,11.724145787003179,85.30339173092447,90.9357607548513
2030,100.87884057891833,11.724145787003179,89.05165824120742,90.9357607548513
2031,105.08498268926868,11.724145787003179,92.76466611853176,90.9357607548513
2032,109.47064743220145,11.724145787003179,96.63614913327389,90.9357607548513
2033,114.04647706996727,11.724145787003179,100.67550183334315,90.9357607548513
2034,118.73031590898577,11.724145787003179,104.81020057844685,90.9357607548513
2035,123.58030432647013,11.724145787003179,109.09156928321256,90.9357607548513
2036,128.5993354705149,11.724145787003179,113.52216189883443,90.9357607548513
2037,133.7760756630849,11.724145787003179,118.09197352421315,90.9357607548513
2038,139.13055140621677,11.724145787003179,122.81868272509051,90.9357607548513
2039,144.66905150270375,11.724145787003179,127.70784099585205,90.9357607548513
2040,150.39659239894505,11.724145787003179,132.76387664740778,90.9357607548513
