target,label,RMSE,MAPE,R2
CO₂ Intensity (gCO₂/kWh),"ARIMA(0, 0, 3) CO₂ Intensity",10.227839128730531,9.962800941763977,-0.9211724560587495
Demand (TWh),OLS (GDP + Pop),15.573575988316714,21.069615438482305,-4.558042256848859
Demand (TWh),"ARIMA(3, 0, 1)",29.43686279650912,32.53125199171314,-18.857665879077988
Fossil Gen (TWh),"ARIMA(1, 0, 3) (plain)",2.2084967240550597,2.9559452264415755,0.6897124154220974
Fossil Gen (TWh),"ARIMAX(1, 0, 3) (+ policy dummy)",9.549690772005876,13.381091928875824,-4.801622915062124
RE Penetration (%),"ARIMA(3, 1, 3) RE Penetration",3.0775515393629007,34.11493883640495,-4.343199095084206
