target,label,RMSE,MAPE,R2,cv_mape
CO₂ Intensity,Gradient Boosting,9.274084622711374,8.674500981476543,-0.5795765702260784,8.058148138150447
Demand,Ridge,2.5050189770160673,3.4457100775302467,0.8561972496755285,5.109931991793346
Fossil Gen,"ARIMA(1,0,3) NB03",2.208,2.96,0.69,
RE Penetration,Ridge,0.7308734474891898,8.405076419276313,0.6986473214064963,12.215801140503173
